,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,ATL,2002,GNB,2002-09-08 13:04:00,Sun,1,0.0,1,0-1,AWAY,34.0,37.0,22.0,374.0,194.0,180.0,1.0,29.0,484.0,273.0,211.0,1.0,16.03,-22.78,3.75
1,ATL,2002,CHI,2002-09-15 13:04:00,Sun,2,0.0,0,0-2,HOME,13.0,14.0,19.0,257.0,135.0,122.0,3.0,13.0,242.0,136.0,106.0,2.0,-8.39,9.67,-3.54
2,ATL,2002,CIN,2002-09-22 20:35:00,Sun,3,1.0,0,1-2,HOME,30.0,3.0,18.0,306.0,163.0,143.0,0.0,11.0,191.0,125.0,66.0,2.0,7.93,20.22,-2.34
3,ATL,2002,TAM,2002-10-06 13:03:00,Sun,5,0.0,0,1-3,HOME,6.0,20.0,14.0,243.0,173.0,70.0,4.0,15.0,327.0,253.0,74.0,2.0,-24.48,-0.01,8.17
4,ATL,2002,NYG,2002-10-13 13:03:00,Sun,6,1.0,0,2-3,AWAY,17.0,10.0,15.0,313.0,246.0,67.0,0.0,18.0,303.0,190.0,113.0,2.0,12.96,-3.13,-0.53
5,ATL,2002,CAR,2002-10-20 13:05:00,Sun,7,1.0,0,3-3,HOME,30.0,0.0,25.0,393.0,206.0,187.0,0.0,12.0,205.0,104.0,101.0,1.0,16.2,14.09,-0.21
6,ATL,2002,NOR,2002-10-27 13:03:00,Sun,8,1.0,0,4-3,AWAY,37.0,35.0,28.0,446.0,186.0,260.0,2.0,22.0,351.0,192.0,159.0,3.0,18.53,-9.44,-8.15
7,ATL,2002,BAL,2002-11-03 13:05:00,Sun,9,1.0,0,5-3,HOME,20.0,17.0,14.0,241.0,115.0,126.0,1.0,15.0,340.0,187.0,153.0,2.0,-7.57,5.43,4.5
8,ATL,2002,PIT,2002-11-10 13:01:00,Sun,10,2.0,1,5-3-1,AWAY,34.0,34.0,21.0,447.0,279.0,168.0,2.0,30.0,645.0,463.0,182.0,3.0,-1.43,-10.54,12.16
9,ATL,2002,NOR,2002-11-17 13:05:00,Sun,11,1.0,0,6-3-1,HOME,24.0,17.0,22.0,292.0,137.0,155.0,1.0,16.0,344.0,264.0,80.0,2.0,8.91,-4.23,1.96
10,ATL,2002,CAR,2002-11-24 13:02:00,Sun,12,1.0,0,7-3-1,AWAY,41.0,0.0,25.0,426.0,277.0,149.0,1.0,10.0,122.0,51.0,71.0,6.0,14.27,35.06,-9.52
11,ATL,2002,MIN,2002-12-01 12:00:00,Sun,13,1.0,1,8-3-1,AWAY,30.0,24.0,19.0,379.0,152.0,227.0,3.0,21.0,369.0,230.0,139.0,3.0,-0.8,3.33,4.46
12,ATL,2002,TAM,2002-12-08 13:01:00,Sun,14,0.0,0,8-4-1,AWAY,10.0,34.0,10.0,181.0,119.0,62.0,1.0,22.0,421.0,271.0,150.0,0.0,-10.56,-18.28,4.09
13,ATL,2002,SEA,2002-12-15 13:03:00,Sun,15,0.0,1,8-5-1,HOME,24.0,30.0,21.0,373.0,223.0,150.0,3.0,25.0,464.0,298.0,166.0,3.0,-7.68,-5.8,3.57
14,ATL,2002,DET,2002-12-22 13:03:00,Sun,16,1.0,0,9-5-1,HOME,36.0,15.0,27.0,533.0,336.0,197.0,2.0,12.0,208.0,121.0,87.0,3.0,14.28,15.73,-5.77
15,ATL,2002,CLE,2002-12-29 13:02:00,Sun,17,0.0,0,9-6-1,AWAY,16.0,24.0,16.0,331.0,226.0,105.0,3.0,17.0,318.0,129.0,189.0,4.0,-8.3,6.52,-3.27
16,ATL,2002,GNB,2003-01-04 20:08:00,Sat,18,1.0,0,10-6-1,AWAY,27.0,7.0,21.0,309.0,117.0,192.0,0.0,17.0,289.0,233.0,56.0,5.0,2.39,13.17,4.9
17,ATL,2002,PHI,2003-01-11 20:21:00,Sat,19,0.0,0,10-7-1,AWAY,6.0,20.0,19.0,354.0,261.0,93.0,2.0,15.0,318.0,227.0,91.0,0.0,-12.68,-0.65,-0.66
18,ATL,2003,DAL,2003-09-07 16:19:00,Sun,1,1.0,0,1-0,AWAY,27.0,13.0,17.0,318.0,220.0,98.0,1.0,16.0,403.0,254.0,149.0,2.0,5.22,1.45,5.24
19,ATL,2003,WAS,2003-09-14 13:03:00,Sun,2,0.0,0,1-1,HOME,31.0,33.0,17.0,283.0,184.0,99.0,2.0,23.0,435.0,310.0,125.0,2.0,-6.65,2.96,2.34
20,ATL,2003,TAM,2003-09-21 13:03:00,Sun,3,0.0,0,1-2,HOME,10.0,31.0,13.0,136.0,107.0,29.0,5.0,18.0,316.0,184.0,132.0,1.0,-18.34,4.12,-2.84
21,ATL,2003,CAR,2003-09-28 16:15:00,Sun,4,0.0,0,1-3,AWAY,3.0,23.0,11.0,267.0,123.0,144.0,1.0,19.0,361.0,168.0,193.0,1.0,-12.57,-4.53,-2.78
22,ATL,2003,MIN,2003-10-05 13:05:00,Sun,5,0.0,0,1-4,HOME,26.0,39.0,21.0,440.0,336.0,104.0,3.0,16.0,399.0,233.0,166.0,1.0,-5.42,-2.04,-3.27
23,ATL,2003,LAR,2003-10-13 21:00:00,Mon,6,0.0,0,1-5,AWAY,0.0,36.0,9.0,209.0,136.0,73.0,4.0,26.0,496.0,377.0,119.0,3.0,-24.96,-13.08,-0.52
24,ATL,2003,NOR,2003-10-19 13:03:00,Sun,7,0.0,0,1-6,HOME,17.0,45.0,11.0,238.0,108.0,130.0,1.0,27.0,506.0,342.0,164.0,1.0,-3.1,-30.51,6.81
25,ATL,2003,PHI,2003-11-02 16:15:00,Sun,9,0.0,0,1-7,HOME,16.0,23.0,17.0,278.0,147.0,131.0,2.0,24.0,430.0,302.0,128.0,0.0,-2.98,-8.45,3.3
26,ATL,2003,NYG,2003-11-09 13:04:00,Sun,10,1.0,0,2-7,AWAY,27.0,7.0,20.0,274.0,58.0,216.0,0.0,18.0,320.0,196.0,124.0,4.0,2.17,20.68,-2.98
