,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,BAL,2002,CAR,2002-09-08 13:04:00,Sun,1,0.0,0.0,0-1,AWAY,7.0,10.0,15.0,289.0,212.0,77.0,1.0,15.0,265.0,120.0,145.0,0.0,-6.68,4.38,-4.2
1,BAL,2002,TAM,2002-09-15 13:02:00,Sun,2,0.0,0.0,0-2,HOME,0.0,25.0,12.0,173.0,118.0,55.0,1.0,17.0,279.0,205.0,74.0,0.0,-25.3,0.76,-4.5
2,BAL,2002,DEN,2002-09-30 21:08:00,Mon,4,1.0,0.0,1-2,HOME,34.0,23.0,14.0,230.0,146.0,84.0,2.0,30.0,403.0,306.0,97.0,3.0,-7.77,1.13,17.33
3,BAL,2002,CLE,2002-10-06 20:36:00,Sun,5,1.0,0.0,2-2,AWAY,26.0,21.0,18.0,409.0,208.0,201.0,1.0,21.0,433.0,371.0,62.0,5.0,7.54,3.26,-2.8
4,BAL,2002,IND,2002-10-13 12:00:00,Sun,6,0.0,0.0,2-3,AWAY,20.0,22.0,15.0,244.0,139.0,105.0,3.0,19.0,317.0,257.0,60.0,1.0,-5.8,2.91,1.83
5,BAL,2002,JAX,2002-10-20 13:02:00,Sun,7,1.0,0.0,3-3,HOME,17.0,10.0,16.0,261.0,143.0,118.0,2.0,22.0,397.0,224.0,173.0,3.0,-7.13,9.84,2.43
6,BAL,2002,PIT,2002-10-27 13:02:00,Sun,8,0.0,0.0,3-4,HOME,18.0,31.0,26.0,360.0,293.0,67.0,5.0,16.0,283.0,179.0,104.0,1.0,-3.51,-2.2,-10.09
7,BAL,2002,ATL,2002-11-03 13:05:00,Sun,9,0.0,0.0,3-5,AWAY,17.0,20.0,15.0,340.0,187.0,153.0,2.0,14.0,241.0,115.0,126.0,1.0,-5.43,7.57,-4.5
8,BAL,2002,CIN,2002-11-10 13:02:00,Sun,10,1.0,0.0,4-5,HOME,38.0,27.0,21.0,325.0,163.0,162.0,2.0,20.0,372.0,249.0,123.0,4.0,7.67,6.17,-1.94
9,BAL,2002,MIA,2002-11-17 16:16:00,Sun,11,0.0,0.0,4-6,AWAY,7.0,26.0,10.0,157.0,91.0,66.0,1.0,17.0,337.0,221.0,116.0,0.0,-19.74,-3.15,3.89
10,BAL,2002,TEN,2002-11-24 13:02:00,Sun,12,1.0,0.0,5-6,HOME,13.0,12.0,12.0,199.0,87.0,112.0,2.0,19.0,402.0,281.0,121.0,4.0,-18.43,13.33,7.92
11,BAL,2002,CIN,2002-12-01 13:02:00,Sun,13,1.0,0.0,6-6,AWAY,27.0,23.0,15.0,247.0,99.0,148.0,0.0,25.0,381.0,303.0,78.0,2.0,-0.81,-0.16,-0.2
12,BAL,2002,NOR,2002-12-08 16:05:00,Sun,14,0.0,0.0,6-7,HOME,25.0,37.0,19.0,410.0,296.0,114.0,5.0,22.0,359.0,209.0,150.0,2.0,-4.88,-6.9,-4.33
13,BAL,2002,HOU,2002-12-15 13:02:00,Sun,15,1.0,0.0,7-7,AWAY,23.0,19.0,16.0,298.0,228.0,70.0,0.0,15.0,277.0,182.0,95.0,2.0,2.78,8.64,-7.15
