,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,CHI,2002,MIN,2002-09-08 13:04:00,Sun,1,1.0,0,1-0,HOME,27.0,23.0,20.0,368.0,288.0,80.0,2.0,19.0,368.0,228.0,140.0,3.0,6.37,-1.2,1.01
1,CHI,2002,ATL,2002-09-15 13:04:00,Sun,2,1.0,0,2-0,AWAY,14.0,13.0,13.0,242.0,136.0,106.0,2.0,19.0,257.0,135.0,122.0,3.0,-9.67,8.39,3.54
2,CHI,2002,NOR,2002-09-22 13:05:00,Sun,3,0.0,0,2-1,HOME,23.0,29.0,21.0,353.0,228.0,125.0,2.0,18.0,302.0,229.0,73.0,3.0,0.58,-0.64,-6.03
3,CHI,2002,BUF,2002-09-29 13:04:00,Sun,4,0.0,1,2-2,AWAY,27.0,33.0,15.0,240.0,188.0,52.0,0.0,26.0,410.0,307.0,103.0,1.0,3.14,-7.4,0.06
4,CHI,2002,GNB,2002-10-07 21:08:00,Mon,5,0.0,0,2-3,HOME,21.0,34.0,20.0,380.0,335.0,45.0,4.0,20.0,457.0,333.0,124.0,1.0,-12.87,-3.38,8.55
5,CHI,2002,DET,2002-10-20 13:03:00,Sun,7,0.0,1,2-4,AWAY,20.0,23.0,17.0,224.0,135.0,89.0,3.0,23.0,362.0,170.0,192.0,1.0,-16.57,-1.4,13.03
6,CHI,2002,MIN,2002-10-27 13:00:00,Sun,8,0.0,0,2-5,AWAY,7.0,25.0,12.0,218.0,174.0,44.0,3.0,24.0,364.0,216.0,148.0,1.0,-16.75,-6.35,1.32
7,CHI,2002,PHI,2002-11-03 13:05:00,Sun,9,0.0,0,2-6,HOME,13.0,19.0,18.0,260.0,186.0,74.0,1.0,23.0,309.0,192.0,117.0,1.0,-8.98,1.96,0.7
8,CHI,2002,NWE,2002-11-10 16:15:00,Sun,10,0.0,0,2-7,HOME,30.0,33.0,14.0,299.0,174.0,125.0,1.0,19.0,397.0,315.0,82.0,2.0,-6.4,2.32,2.19
9,CHI,2002,LAR,2002-11-18 21:07:00,Mon,11,0.0,0,2-8,AWAY,16.0,21.0,16.0,220.0,117.0,103.0,0.0,21.0,388.0,327.0,61.0,2.0,-8.46,-9.16,11.45
10,CHI,2002,DET,2002-11-24 13:03:00,Sun,12,1.0,1,3-8,HOME,20.0,17.0,21.0,422.0,347.0,75.0,1.0,19.0,301.0,199.0,102.0,2.0,-2.89,4.45,0.11
11,CHI,2002,GNB,2002-12-01 13:02:00,Sun,13,0.0,0,3-9,AWAY,20.0,30.0,19.0,304.0,230.0,74.0,4.0,26.0,396.0,215.0,181.0,2.0,-5.34,-4.89,-2.81
12,CHI,2002,MIA,2002-12-09 21:09:00,Mon,14,0.0,0,3-10,AWAY,9.0,27.0,12.0,195.0,88.0,107.0,4.0,22.0,436.0,188.0,248.0,3.0,-32.74,2.31,7.21
13,CHI,2002,NYJ,2002-12-15 13:05:00,Sun,15,1.0,0,4-10,HOME,20.0,13.0,20.0,266.0,161.0,105.0,0.0,19.0,334.0,200.0,134.0,1.0,4.38,-4.25,5.22
14,CHI,2002,CAR,2002-12-22 13:02:00,Sun,16,0.0,0,4-11,AWAY,14.0,24.0,8.0,186.0,131.0,55.0,4.0,15.0,253.0,165.0,88.0,2.0,-26.17,19.8,-3.44
15,CHI,2002,TAM,2002-12-29 20:36:00,Sun,17,0.0,0,4-12,HOME,0.0,15.0,14.0,218.0,133.0,85.0,4.0,15.0,272.0,111.0,161.0,0.0,-19.07,5.63,3.35
16,CHI,2003,SFO,2003-09-07 16:19:00,Sun,1,0.0,0.0,0-1,AWAY,7.0,49.0,8.0,127.0,72.0,55.0,5.0,23.0,391.0,229.0,162.0,2.0,-37.94,-6.92,4.41
17,CHI,2003,MIN,2003-09-14 20:30:00,Sun,2,0.0,0.0,0-2,AWAY,13.0,24.0,10.0,208.0,128.0,80.0,1.0,25.0,400.0,198.0,202.0,1.0,-6.53,-13.79,9.12
18,CHI,2003,GNB,2003-09-29 21:09:00,Mon,4,0.0,0.0,0-3,HOME,23.0,38.0,23.0,361.0,180.0,181.0,2.0,20.0,380.0,193.0,187.0,1.0,-1.55,-13.99,0.12
19,CHI,2003,LVR,2003-10-05 13:02:00,Sun,5,1.0,0.0,1-3,HOME,24.0,21.0,18.0,344.0,144.0,200.0,3.0,18.0,301.0,182.0,119.0,2.0,-11.57,7.63,5.94
20,CHI,2003,NOR,2003-10-12 13:03:00,Sun,6,0.0,0.0,1-4,AWAY,13.0,20.0,16.0,271.0,131.0,140.0,2.0,18.0,283.0,153.0,130.0,0.0,-5.16,-5.88,2.22
21,CHI,2003,SEA,2003-10-19 16:15:00,Sun,7,0.0,0.0,1-5,AWAY,17.0,24.0,19.0,211.0,124.0,87.0,2.0,22.0,335.0,211.0,124.0,2.0,-7.01,-10.0,5.1
22,CHI,2003,DET,2003-10-26 13:03:00,Sun,8,1.0,0.0,2-5,HOME,24.0,16.0,14.0,261.0,193.0,68.0,0.0,16.0,260.0,180.0,80.0,2.0,-0.51,13.56,-1.56
23,CHI,2003,LAC,2003-11-02 13:05:00,Sun,9,1.0,0.0,3-5,HOME,20.0,7.0,19.0,341.0,216.0,125.0,1.0,11.0,199.0,119.0,80.0,1.0,5.79,4.8,-0.23
24,CHI,2003,DET,2003-11-09 13:03:00,Sun,10,0.0,0.0,3-6,AWAY,10.0,12.0,11.0,199.0,133.0,66.0,1.0,10.0,248.0,231.0,17.0,0.0,-11.81,12.92,-3.78
25,CHI,2003,LAR,2003-11-16 13:03:00,Sun,11,0.0,0.0,3-7,HOME,21.0,23.0,13.0,241.0,146.0,95.0,2.0,22.0,320.0,208.0,112.0,3.0,-7.84,3.76,3.78
26,CHI,2003,DEN,2003-11-23 16:05:00,Sun,12,1.0,0.0,4-7,AWAY,19.0,10.0,19.0,217.0,111.0,106.0,0.0,18.0,365.0,165.0,200.0,0.0,0.43,-5.79,10.11
27,CHI,2003,ARI,2003-11-30 13:03:00,Sun,13,1.0,0.0,5-7,HOME,28.0,3.0,25.0,422.0,268.0,154.0,1.0,9.0,197.0,151.0,46.0,3.0,9.99,23.47,-9.9
28,CHI,2003,GNB,2003-12-07 13:02:00,Sun,14,0.0,0.0,5-8,AWAY,21.0,34.0,13.0,275.0,231.0,44.0,5.0,17.0,307.0,210.0,97.0,1.0,-29.21,15.49,1.26
29,CHI,2003,MIN,2003-12-14 13:03:00,Sun,15,1.0,0.0,6-8,HOME,13.0,10.0,15.0,232.0,145.0,87.0,0.0,22.0,393.0,215.0,178.0,1.0,-0.07,-0.89,2.88
30,CHI,2003,WAS,2003-12-21 13:03:00,Sun,16,1.0,0.0,7-8,HOME,27.0,24.0,25.0,429.0,238.0,191.0,2.0,15.0,286.0,242.0,44.0,0.0,12.88,-4.68,-3.62
31,CHI,2003,KAN,2003-12-28 13:00:00,Sun,17,0.0,0.0,7-9,AWAY,3.0,31.0,16.0,241.0,157.0,84.0,2.0,23.0,282.0,195.0,87.0,1.0,-18.38,-6.47,2.26
32,CHI,2004,DET,2004-09-12 13:05:00,Sun,1,0.0,0,0-1,HOME,16.0,20.0,18.0,342.0,214.0,128.0,4.0,13.0,262.0,185.0,77.0,1.0,-9.81,8.57,-2.16
