,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,CIN,2002,LAC,2002-09-08 13:04:00,Sun,1,0.0,0.0,0-1,HOME,6.0,34.0,13.0,203.0,167.0,36.0,1.0,27.0,401.0,160.0,241.0,0.0,-7.0,-22.74,3.17
1,CIN,2002,CLE,2002-09-15 13:03:00,Sun,2,0.0,0.0,0-2,AWAY,7.0,20.0,28.0,357.0,201.0,156.0,3.0,15.0,265.0,190.0,75.0,0.0,-5.83,2.7,-8.7
2,CIN,2002,ATL,2002-09-22 20:35:00,Sun,3,0.0,0.0,0-3,AWAY,3.0,30.0,11.0,191.0,125.0,66.0,2.0,18.0,306.0,163.0,143.0,0.0,-20.22,-7.93,2.34
3,CIN,2002,TAM,2002-09-29 16:05:00,Sun,4,0.0,0.0,0-4,HOME,7.0,35.0,11.0,168.0,94.0,74.0,2.0,17.0,363.0,262.0,101.0,3.0,-32.1,8.2,-2.57
4,CIN,2002,IND,2002-10-06 12:00:00,Sun,5,0.0,0.0,0-5,AWAY,21.0,28.0,23.0,410.0,237.0,173.0,4.0,19.0,311.0,224.0,87.0,1.0,5.09,-4.78,-7.8
5,CIN,2002,PIT,2002-10-13 13:02:00,Sun,6,0.0,0.0,0-6,HOME,7.0,34.0,18.0,268.0,190.0,78.0,4.0,21.0,408.0,197.0,211.0,2.0,-14.38,-9.4,-0.9
6,CIN,2002,TEN,2002-10-27 13:02:00,Sun,8,0.0,0.0,0-7,HOME,24.0,30.0,22.0,384.0,193.0,191.0,1.0,20.0,342.0,208.0,134.0,1.0,13.32,-10.48,-6.12
7,CIN,2002,HOU,2002-11-03 13:01:00,Sun,9,1.0,0.0,1-7,AWAY,38.0,3.0,25.0,390.0,263.0,127.0,0.0,22.0,268.0,186.0,82.0,2.0,22.38,10.04,1.44
8,CIN,2002,BAL,2002-11-10 13:02:00,Sun,10,0.0,0.0,1-8,AWAY,27.0,38.0,20.0,372.0,249.0,123.0,4.0,21.0,325.0,163.0,162.0,2.0,-6.17,-7.67,1.94
9,CIN,2002,CLE,2002-11-17 13:02:00,Sun,11,0.0,0.0,1-9,HOME,20.0,27.0,14.0,350.0,248.0,102.0,1.0,22.0,382.0,242.0,140.0,1.0,3.22,-11.11,2.15
10,CIN,2002,PIT,2002-11-24 13:01:00,Sun,12,0.0,0.0,1-10,AWAY,21.0,29.0,17.0,352.0,298.0,54.0,1.0,21.0,391.0,235.0,156.0,0.0,3.96,-13.92,2.01
11,CIN,2002,BAL,2002-12-01 13:02:00,Sun,13,0.0,0.0,1-11,HOME,23.0,27.0,25.0,381.0,303.0,78.0,2.0,15.0,247.0,99.0,148.0,0.0,0.16,0.81,0.2
