,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,DAL,2002,HOU,2002-09-08 20:36:00,Sun,1,0.0,0,0-1,AWAY,10.0,19.0,11.0,267.0,112.0,155.0,2.0,13.0,210.0,123.0,87.0,1.0,-9.87,14.29,-7.99
1,DAL,2002,TEN,2002-09-15 13:02:00,Sun,2,1.0,0,1-1,HOME,21.0,13.0,14.0,297.0,230.0,67.0,0.0,19.0,333.0,235.0,98.0,1.0,2.85,10.71,-3.81
2,DAL,2002,PHI,2002-09-22 13:02:00,Sun,3,0.0,0,1-2,AWAY,13.0,44.0,18.0,304.0,183.0,121.0,4.0,26.0,447.0,294.0,153.0,2.0,-16.63,-22.83,9.87
3,DAL,2002,LAR,2002-09-29 13:02:00,Sun,4,1.0,0,2-2,AWAY,13.0,10.0,17.0,315.0,193.0,122.0,2.0,19.0,366.0,273.0,93.0,3.0,-6.79,2.99,4.66
4,DAL,2002,NYG,2002-10-06 13:03:00,Sun,5,0.0,0,2-3,HOME,17.0,21.0,20.0,340.0,245.0,95.0,0.0,16.0,316.0,212.0,104.0,2.0,1.18,-2.53,-0.17
5,DAL,2002,CAR,2002-10-13 13:03:00,Sun,6,1.0,0,3-3,HOME,14.0,13.0,17.0,311.0,174.0,137.0,2.0,14.0,308.0,198.0,110.0,0.0,-10.65,7.02,0.58
6,DAL,2002,ARI,2002-10-20 16:15:00,Sun,7,0.0,1,3-4,AWAY,6.0,9.0,14.0,342.0,194.0,148.0,4.0,22.0,380.0,228.0,152.0,1.0,-10.01,6.06,0.95
7,DAL,2002,SEA,2002-10-27 13:04:00,Sun,8,0.0,0,3-5,HOME,14.0,17.0,17.0,237.0,132.0,105.0,1.0,18.0,267.0,170.0,97.0,2.0,-2.04,0.09,6.5
8,DAL,2002,DET,2002-11-03 13:04:00,Sun,9,0.0,0,3-6,AWAY,7.0,9.0,17.0,221.0,150.0,71.0,2.0,8.0,148.0,96.0,52.0,2.0,-17.97,25.34,-8.61
9,DAL,2002,IND,2002-11-17 13:00:00,Sun,11,0.0,0,3-7,AWAY,3.0,20.0,11.0,178.0,94.0,84.0,2.0,20.0,362.0,252.0,110.0,1.0,-19.68,-1.76,3.59
10,DAL,2002,JAX,2002-11-24 13:03:00,Sun,12,1.0,0,4-7,HOME,21.0,19.0,21.0,405.0,287.0,118.0,3.0,19.0,326.0,194.0,132.0,3.0,-0.45,6.66,-1.77
11,DAL,2002,WAS,2002-11-28 16:17:00,Thu,13,1.0,0,5-7,HOME,27.0,20.0,19.0,328.0,117.0,211.0,0.0,16.0,315.0,232.0,83.0,4.0,-0.09,8.04,-1.05
12,DAL,2002,SFO,2002-12-08 13:02:00,Sun,14,0.0,0,5-8,HOME,27.0,31.0,10.0,257.0,147.0,110.0,2.0,26.0,401.0,276.0,125.0,1.0,-15.23,6.47,4.95
13,DAL,2002,NYG,2002-12-15 16:16:00,Sun,15,0.0,0,5-9,AWAY,7.0,37.0,14.0,241.0,137.0,104.0,3.0,20.0,377.0,220.0,157.0,0.0,-27.51,-8.02,6.13
14,DAL,2002,PHI,2002-12-21 20:39:00,Sat,16,0.0,0,5-10,HOME,3.0,27.0,9.0,146.0,78.0,68.0,3.0,17.0,359.0,245.0,114.0,2.0,-32.82,3.71,4.41
15,DAL,2002,WAS,2002-12-29 13:02:00,Sun,17,0.0,0,5-11,AWAY,14.0,20.0,8.0,186.0,148.0,38.0,4.0,18.0,352.0,201.0,151.0,5.0,-26.49,19.28,2.18
16,DAL,2003,ATL,2003-09-07 16:19:00,Sun,1,0.0,0,0-1,HOME,13.0,27.0,16.0,403.0,254.0,149.0,2.0,17.0,318.0,220.0,98.0,1.0,-1.45,-5.22,-5.24
17,DAL,2003,NYG,2003-09-15 21:08:00,Mon,2,1.0,1,1-1,AWAY,35.0,32.0,24.0,403.0,296.0,107.0,1.0,20.0,309.0,256.0,53.0,3.0,-3.89,4.73,1.1
