,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,DET,2002,MIA,2002-09-08 13:04:00,Sun,0,0,0-1,AWAY,21.0,49.0,15.0,257.0,206.0,51.0,2.0,27.0,389.0,207.0,182.0,0.0,-4.0,-21.92,-3.09
1,DET,2002,CAR,2002-09-15 13:04:00,Sun,0,0,0-2,AWAY,7.0,31.0,12.0,122.0,49.0,73.0,3.0,20.0,385.0,310.0,75.0,0.0,-28.88,-6.36,10.97
2,DET,2002,GNB,2002-09-22 16:17:00,Sun,0,0,0-3,HOME,31.0,37.0,14.0,271.0,176.0,95.0,5.0,22.0,442.0,347.0,95.0,3.0,-11.89,0.31,6.43
3,DET,2002,NOR,2002-09-29 13:03:00,Sun,1,0,1-3,HOME,26.0,21.0,16.0,352.0,267.0,85.0,0.0,24.0,357.0,247.0,110.0,3.0,0.35,1.22,6.77
4,DET,2002,MIN,2002-10-13 13:00:00,Sun,0,0,1-4,AWAY,24.0,31.0,17.0,354.0,301.0,53.0,1.0,22.0,402.0,291.0,111.0,1.0,0.64,-5.44,-1.93
5,DET,2002,CHI,2002-10-20 13:03:00,Sun,1,1,2-4,HOME,23.0,20.0,23.0,362.0,170.0,192.0,1.0,17.0,224.0,135.0,89.0,3.0,1.4,16.57,-13.03
6,DET,2002,BUF,2002-10-27 13:02:00,Sun,0,0,2-5,AWAY,17.0,24.0,16.0,282.0,199.0,83.0,1.0,23.0,343.0,269.0,74.0,2.0,-9.72,-6.03,8.98
7,DET,2002,DAL,2002-11-03 13:04:00,Sun,1,0,3-5,HOME,9.0,7.0,8.0,148.0,96.0,52.0,2.0,17.0,221.0,150.0,71.0,2.0,-25.34,17.97,8.61
8,DET,2002,GNB,2002-11-10 13:02:00,Sun,0,0,3-6,AWAY,14.0,40.0,13.0,362.0,236.0,126.0,2.0,24.0,503.0,353.0,150.0,2.0,-17.01,-7.84,3.48
9,DET,2002,NYJ,2002-11-17 16:16:00,Sun,0,0,3-7,HOME,14.0,31.0,13.0,279.0,171.0,108.0,1.0,26.0,408.0,219.0,189.0,1.0,-2.56,-20.33,2.99
10,DET,2002,CHI,2002-11-24 13:03:00,Sun,0,1,3-8,AWAY,17.0,20.0,19.0,301.0,199.0,102.0,2.0,21.0,422.0,347.0,75.0,1.0,-4.45,2.89,-0.11
11,DET,2002,NWE,2002-11-28 12:38:00,Thu,0,0,3-9,HOME,12.0,20.0,14.0,292.0,210.0,82.0,3.0,23.0,349.0,210.0,139.0,1.0,-13.17,-4.75,4.66
12,DET,2002,ARI,2002-12-08 16:06:00,Sun,0,1,3-10,AWAY,20.0,23.0,15.0,203.0,152.0,51.0,1.0,21.0,313.0,180.0,133.0,1.0,-5.32,5.13,-2.68
13,DET,2002,TAM,2002-12-15 13:04:00,Sun,0,0,3-11,HOME,20.0,23.0,15.0,292.0,148.0,144.0,1.0,22.0,376.0,253.0,123.0,0.0,0.71,-7.14,1.45
14,DET,2002,ATL,2002-12-22 13:03:00,Sun,0,0,3-12,AWAY,15.0,36.0,12.0,208.0,121.0,87.0,3.0,27.0,533.0,336.0,197.0,2.0,-15.73,-14.28,5.77
15,DET,2002,MIN,2002-12-29 13:02:00,Sun,0,0,3-13,HOME,36.0,38.0,20.0,386.0,293.0,93.0,3.0,24.0,450.0,296.0,154.0,2.0,0.52,-14.03,11.71
16,DET,2003,ARI,2003-09-07 13:06:00,Sun,1,0.0,1-0,HOME,42.0,24.0,16.0,261.0,195.0,66.0,0.0,21.0,434.0,339.0,95.0,3.0,8.26,-0.39,7.27
17,DET,2003,GNB,2003-09-14 13:02:00,Sun,0,0.0,1-1,AWAY,6.0,31.0,14.0,293.0,237.0,56.0,3.0,17.0,332.0,132.0,200.0,2.0,-30.54,-2.04,9.05
18,DET,2003,MIN,2003-09-21 13:03:00,Sun,0,0.0,1-2,HOME,13.0,23.0,22.0,302.0,225.0,77.0,3.0,14.0,414.0,287.0,127.0,1.0,-7.97,-10.33,9.7
19,DET,2003,DEN,2003-09-28 16:15:00,Sun,0,0.0,1-3,AWAY,16.0,20.0,16.0,285.0,141.0,144.0,0.0,20.0,332.0,253.0,79.0,1.0,1.51,-6.04,0.84
20,DET,2003,SFO,2003-10-05 16:15:00,Sun,0,0.0,1-4,AWAY,17.0,24.0,15.0,305.0,221.0,84.0,2.0,20.0,325.0,183.0,142.0,1.0,-9.58,0.28,4.6
21,DET,2003,DAL,2003-10-19 13:03:00,Sun,0,0.0,1-5,HOME,7.0,38.0,9.0,157.0,74.0,83.0,4.0,25.0,331.0,197.0,134.0,1.0,-30.6,1.94,-0.57
22,DET,2003,CHI,2003-10-26 13:03:00,Sun,0,0.0,1-6,AWAY,16.0,24.0,16.0,260.0,180.0,80.0,2.0,14.0,261.0,193.0,68.0,0.0,-13.56,0.51,1.56
23,DET,2003,LVR,2003-11-02 13:03:00,Sun,1,0.0,2-6,HOME,23.0,13.0,14.0,229.0,117.0,112.0,2.0,18.0,265.0,171.0,94.0,4.0,-4.82,15.17,1.36
24,DET,2003,CHI,2003-11-09 13:03:00,Sun,1,0.0,3-6,HOME,12.0,10.0,10.0,248.0,231.0,17.0,0.0,11.0,199.0,133.0,66.0,1.0,-12.92,11.81,3.78
25,DET,2003,SEA,2003-11-16 16:16:00,Sun,0,0.0,3-7,AWAY,14.0,35.0,20.0,357.0,276.0,81.0,2.0,22.0,366.0,207.0,159.0,0.0,-0.39,-15.05,-5.79
26,DET,2003,MIN,2003-11-23 13:00:00,Sun,0,0.0,3-8,AWAY,14.0,24.0,16.0,241.0,167.0,74.0,4.0,18.0,307.0,186.0,121.0,2.0,-22.87,13.0,-2.22
27,DET,2003,GNB,2003-11-27 12:37:00,Thu,1,0.0,4-8,HOME,22.0,14.0,17.0,266.0,172.0,94.0,1.0,18.0,320.0,268.0,52.0,5.0,-7.31,11.93,3.23
