,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,GNB,2002,ATL,2002-09-08 13:04:00,Sun,1,1.0,1,1-0,HOME,37.0,34.0,29.0,484.0,273.0,211.0,1.0,22.0,374.0,194.0,180.0,1.0,22.78,-16.03,-3.75
1,GNB,2002,NOR,2002-09-15 13:04:00,Sun,2,0.0,0,1-1,AWAY,20.0,35.0,18.0,357.0,262.0,95.0,4.0,16.0,357.0,211.0,146.0,2.0,-17.86,-4.31,5.38
2,GNB,2002,DET,2002-09-22 16:17:00,Sun,3,1.0,0,2-1,AWAY,37.0,31.0,22.0,442.0,347.0,95.0,3.0,14.0,271.0,176.0,95.0,5.0,-0.31,11.89,-6.43
3,GNB,2002,CAR,2002-09-29 13:02:00,Sun,4,1.0,0,3-1,HOME,17.0,14.0,17.0,298.0,199.0,99.0,1.0,18.0,332.0,193.0,139.0,3.0,-0.12,5.45,0.26
4,GNB,2002,CHI,2002-10-07 21:08:00,Mon,5,1.0,0,4-1,AWAY,34.0,21.0,20.0,457.0,333.0,124.0,1.0,20.0,380.0,335.0,45.0,4.0,3.38,12.87,-8.55
5,GNB,2002,NWE,2002-10-13 13:02:00,Sun,6,1.0,0,5-1,AWAY,28.0,10.0,20.0,301.0,143.0,158.0,0.0,20.0,289.0,166.0,123.0,4.0,13.4,8.26,-6.97
6,GNB,2002,WAS,2002-10-20 16:15:00,Sun,7,1.0,0,6-1,HOME,30.0,9.0,19.0,243.0,155.0,88.0,1.0,19.0,238.0,92.0,146.0,4.0,2.22,18.11,1.31
7,GNB,2002,MIA,2002-11-04 21:08:00,Mon,9,1.0,0,7-1,HOME,24.0,10.0,16.0,270.0,166.0,104.0,1.0,25.0,306.0,163.0,143.0,4.0,-1.24,22.8,-7.23
8,GNB,2002,DET,2002-11-10 13:02:00,Sun,10,1.0,0,8-1,HOME,40.0,14.0,24.0,503.0,353.0,150.0,2.0,13.0,362.0,236.0,126.0,2.0,7.84,17.01,-3.48
9,GNB,2002,MIN,2002-11-17 12:00:00,Sun,11,0.0,0,8-2,AWAY,21.0,31.0,18.0,367.0,296.0,71.0,3.0,24.0,425.0,207.0,218.0,3.0,-5.78,-6.52,1.51
10,GNB,2002,TAM,2002-11-24 16:15:00,Sun,12,0.0,0,8-3,AWAY,7.0,21.0,15.0,267.0,171.0,96.0,4.0,14.0,246.0,153.0,93.0,1.0,-23.27,11.1,0.72
11,GNB,2002,CHI,2002-12-01 13:02:00,Sun,13,1.0,0,9-3,HOME,30.0,20.0,26.0,396.0,215.0,181.0,2.0,19.0,304.0,230.0,74.0,4.0,4.89,5.34,2.81
12,GNB,2002,MIN,2002-12-08 20:35:00,Sun,14,1.0,0,10-3,HOME,26.0,22.0,20.0,328.0,204.0,124.0,2.0,15.0,316.0,125.0,191.0,1.0,5.94,-4.87,1.93
13,GNB,2002,SFO,2002-12-15 16:15:00,Sun,15,1.0,0,11-3,AWAY,20.0,14.0,21.0,302.0,198.0,104.0,0.0,16.0,263.0,156.0,107.0,1.0,7.85,5.15,-6.0
14,GNB,2002,BUF,2002-12-22 13:02:00,Sun,16,1.0,0,12-3,HOME,10.0,0.0,14.0,223.0,104.0,119.0,2.0,17.0,185.0,142.0,43.0,6.0,-17.66,24.75,4.03
15,GNB,2002,NYJ,2002-12-29 16:16:00,Sun,17,0.0,0,12-4,AWAY,17.0,42.0,19.0,322.0,208.0,114.0,1.0,22.0,337.0,208.0,129.0,0.0,-4.84,-22.89,-1.79
16,GNB,2002,ATL,2003-01-04 20:08:00,Sat,18,0.0,0,12-5,HOME,7.0,27.0,17.0,289.0,233.0,56.0,5.0,21.0,309.0,117.0,192.0,0.0,-13.17,-2.39,-4.9
17,GNB,2003,MIN,2003-09-07 13:04:00,Sun,1,0.0,0,0-1,HOME,25.0,30.0,22.0,304.0,242.0,62.0,5.0,21.0,337.0,183.0,154.0,2.0,-2.53,-5.88,2.89
18,GNB,2003,DET,2003-09-14 13:02:00,Sun,2,1.0,0,1-1,HOME,31.0,6.0,17.0,332.0,132.0,200.0,2.0,14.0,293.0,237.0,56.0,3.0,2.04,30.54,-9.05
19,GNB,2003,ARI,2003-09-21 16:06:00,Sun,3,0.0,0,1-2,AWAY,13.0,20.0,18.0,311.0,245.0,66.0,2.0,21.0,354.0,273.0,81.0,1.0,-1.77,-8.6,5.13
20,GNB,2003,CHI,2003-09-29 21:09:00,Mon,4,1.0,0,2-2,AWAY,38.0,23.0,20.0,380.0,193.0,187.0,1.0,23.0,361.0,180.0,181.0,2.0,13.99,1.55,-0.12
21,GNB,2003,SEA,2003-10-05 13:02:00,Sun,5,1.0,0,3-2,HOME,35.0,13.0,27.0,336.0,177.0,159.0,0.0,23.0,343.0,215.0,128.0,2.0,24.59,-1.0,-1.0
22,GNB,2003,KAN,2003-10-12 13:02:00,Sun,6,0.0,1,3-3,HOME,34.0,40.0,24.0,440.0,257.0,183.0,2.0,22.0,482.0,400.0,82.0,0.0,3.51,-16.74,4.36
23,GNB,2003,LAR,2003-10-19 13:02:00,Sun,7,0.0,0,3-4,AWAY,24.0,34.0,22.0,372.0,256.0,116.0,4.0,22.0,370.0,239.0,131.0,2.0,2.24,-6.52,-7.44
24,GNB,2003,MIN,2003-11-02 20:35:00,Sun,9,1.0,0,4-4,AWAY,30.0,27.0,24.0,451.0,190.0,261.0,1.0,20.0,323.0,198.0,125.0,0.0,16.96,-11.73,-1.2
25,GNB,2003,PHI,2003-11-10 21:08:00,Mon,10,0.0,0,4-5,HOME,14.0,17.0,17.0,309.0,68.0,241.0,3.0,15.0,282.0,190.0,92.0,0.0,-10.02,4.78,-1.75
26,GNB,2003,TAM,2003-11-16 16:15:00,Sun,11,1.0,0,5-5,AWAY,20.0,13.0,15.0,282.0,92.0,190.0,1.0,10.0,285.0,131.0,154.0,3.0,-5.96,12.07,1.83
27,GNB,2003,SFO,2003-11-23 13:02:00,Sun,12,1.0,0,6-5,HOME,20.0,10.0,18.0,379.0,136.0,243.0,3.0,13.0,192.0,119.0,73.0,1.0,-0.12,8.62,3.75
