,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,IND,2002,JAX,2002-09-08 13:04:00,Sun,1,1.0,0,1-0,AWAY,28.0,25.0,18.0,307.0,203.0,104.0,2.0,19.0,343.0,225.0,118.0,2.0,4.46,-5.8,5.1
1,IND,2002,MIA,2002-09-15 13:00:00,Sun,2,0.0,0,1-1,HOME,13.0,21.0,29.0,432.0,289.0,143.0,3.0,17.0,342.0,179.0,163.0,1.0,1.29,-6.55,1.59
2,IND,2002,HOU,2002-09-22 13:01:00,Sun,3,1.0,0,2-1,AWAY,23.0,3.0,16.0,339.0,251.0,88.0,2.0,10.0,204.0,78.0,126.0,2.0,-0.18,17.73,2.8
3,IND,2002,CIN,2002-10-06 12:00:00,Sun,5,1.0,0,3-1,HOME,28.0,21.0,19.0,311.0,224.0,87.0,1.0,23.0,410.0,237.0,173.0,4.0,4.78,-5.09,7.8
4,IND,2002,BAL,2002-10-13 12:00:00,Sun,6,1.0,0,4-1,HOME,22.0,20.0,19.0,317.0,257.0,60.0,1.0,15.0,244.0,139.0,105.0,3.0,-2.91,5.8,-1.83
5,IND,2002,PIT,2002-10-21 21:08:00,Mon,7,0.0,0,4-2,AWAY,10.0,28.0,23.0,367.0,295.0,72.0,3.0,22.0,364.0,182.0,182.0,1.0,-3.8,-11.23,-1.37
6,IND,2002,WAS,2002-10-27 20:35:00,Sun,8,0.0,0,4-3,AWAY,21.0,26.0,18.0,258.0,195.0,63.0,3.0,23.0,370.0,205.0,165.0,1.0,-7.8,-0.12,-0.86
7,IND,2002,TEN,2002-11-03 13:00:00,Sun,9,0.0,0,4-4,HOME,15.0,23.0,25.0,378.0,298.0,80.0,3.0,13.0,198.0,77.0,121.0,0.0,-13.71,3.38,-6.23
8,IND,2002,PHI,2002-11-10 13:03:00,Sun,10,1.0,0,5-4,AWAY,35.0,13.0,18.0,446.0,319.0,127.0,1.0,21.0,374.0,269.0,105.0,2.0,17.54,8.27,-9.13
9,IND,2002,DAL,2002-11-17 13:00:00,Sun,11,1.0,0,6-4,HOME,20.0,3.0,20.0,362.0,252.0,110.0,1.0,11.0,178.0,94.0,84.0,2.0,1.76,19.68,-3.59
10,IND,2002,DEN,2002-11-24 20:36:00,Sun,12,1.0,1,7-4,AWAY,23.0,20.0,26.0,344.0,216.0,128.0,3.0,15.0,285.0,172.0,113.0,2.0,8.79,1.02,-6.75
11,IND,2002,HOU,2002-12-01 16:00:00,Sun,13,1.0,0,8-4,HOME,19.0,3.0,13.0,278.0,190.0,88.0,1.0,10.0,165.0,100.0,65.0,2.0,-8.86,27.9,-0.22
12,IND,2002,TEN,2002-12-08 13:03:00,Sun,14,0.0,0,8-5,AWAY,17.0,27.0,22.0,389.0,297.0,92.0,3.0,18.0,348.0,229.0,119.0,1.0,10.8,-12.73,-8.59
13,IND,2002,CLE,2002-12-15 13:02:00,Sun,15,1.0,0,9-5,AWAY,28.0,23.0,20.0,417.0,274.0,143.0,2.0,18.0,349.0,253.0,96.0,0.0,11.14,-2.16,-3.69
14,IND,2002,NYG,2002-12-22 13:00:00,Sun,16,0.0,0,9-6,HOME,27.0,44.0,20.0,399.0,349.0,50.0,2.0,24.0,469.0,366.0,103.0,3.0,-3.68,-15.73,2.2
15,IND,2002,JAX,2002-12-29 16:05:00,Sun,17,1.0,0,10-6,HOME,20.0,13.0,18.0,272.0,146.0,126.0,1.0,20.0,266.0,112.0,154.0,1.0,3.49,-0.05,1.11
16,IND,2002,NYJ,2003-01-04 16:39:00,Sat,18,0.0,0,10-7,AWAY,0.0,41.0,10.0,176.0,124.0,52.0,3.0,26.0,396.0,216.0,180.0,0.0,-13.94,-21.86,-4.41
17,IND,2003,CLE,2003-09-07 13:06:00,Sun,1,1.0,0,1-0,AWAY,9.0,6.0,18.0,271.0,204.0,67.0,2.0,18.0,280.0,182.0,98.0,2.0,-4.86,3.74,3.18
18,IND,2003,TEN,2003-09-14 13:00:00,Sun,2,1.0,0,2-0,HOME,33.0,7.0,20.0,291.0,164.0,127.0,0.0,14.0,236.0,183.0,53.0,2.0,4.55,18.6,3.21
19,IND,2003,JAX,2003-09-21 13:00:00,Sun,3,1.0,0,3-0,HOME,23.0,13.0,17.0,289.0,216.0,73.0,1.0,15.0,266.0,114.0,152.0,1.0,3.2,3.43,4.65
20,IND,2003,NOR,2003-09-28 20:37:00,Sun,4,1.0,0,4-0,AWAY,55.0,21.0,20.0,418.0,318.0,100.0,0.0,20.0,363.0,208.0,155.0,4.0,25.12,10.55,3.15
21,IND,2003,TAM,2003-10-06 21:15:00,Mon,5,1.0,1,5-0,AWAY,38.0,35.0,24.0,455.0,381.0,74.0,2.0,25.0,457.0,318.0,139.0,1.0,0.23,11.81,-2.69
22,IND,2003,CAR,2003-10-12 13:00:00,Sun,6,0.0,1,5-1,HOME,20.0,23.0,20.0,369.0,293.0,76.0,3.0,17.0,341.0,152.0,189.0,2.0,-0.95,0.73,-4.02
23,IND,2003,HOU,2003-10-26 16:15:00,Sun,8,1.0,0,6-1,HOME,30.0,21.0,23.0,391.0,269.0,122.0,1.0,18.0,270.0,139.0,131.0,2.0,17.85,-2.49,-6.34
24,IND,2003,MIA,2003-11-02 13:04:00,Sun,9,1.0,0,7-1,AWAY,23.0,17.0,23.0,356.0,241.0,115.0,2.0,12.0,239.0,192.0,47.0,2.0,-2.11,8.79,-2.64
25,IND,2003,JAX,2003-11-09 13:02:00,Sun,10,0.0,0,7-2,AWAY,23.0,28.0,20.0,394.0,347.0,47.0,2.0,20.0,353.0,179.0,174.0,2.0,10.78,-14.33,-1.98
26,IND,2003,NYJ,2003-11-16 16:05:00,Sun,11,1.0,0,8-2,HOME,38.0,31.0,30.0,538.0,393.0,145.0,0.0,12.0,324.0,192.0,132.0,0.0,27.35,-9.05,-9.14
27,IND,2003,BUF,2003-11-23 13:02:00,Sun,12,1.0,0,9-2,AWAY,17.0,14.0,21.0,326.0,223.0,103.0,1.0,16.0,228.0,118.0,110.0,1.0,1.05,1.98,0.2
28,IND,2003,NWE,2003-11-30 13:00:00,Sun,13,0.0,0,9-3,HOME,34.0,38.0,26.0,370.0,272.0,98.0,2.0,21.0,282.0,226.0,56.0,3.0,4.04,-1.22,-5.97
