,team,year,opp,dt_date,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,JAX,2002,IND,2002-09-08 00:00:00,2002-09-08 13:04:00,Sun,0,0.0,0-1,HOME,25.0,28.0,19.0,343.0,225.0,118.0,2.0,18.0,307.0,203.0,104.0,2.0,5.8,-4.46,-5.1
1,JAX,2002,KAN,2002-09-15 00:00:00,2002-09-15 13:00:00,Sun,1,0.0,1-1,AWAY,23.0,16.0,19.0,450.0,320.0,130.0,1.0,18.0,336.0,196.0,140.0,2.0,12.15,0.18,-6.31
2,JAX,2002,NYJ,2002-09-29 00:00:00,2002-09-29 13:02:00,Sun,1,0.0,2-1,HOME,28.0,3.0,20.0,383.0,160.0,223.0,0.0,18.0,345.0,267.0,78.0,4.0,14.42,15.39,-5.0
3,JAX,2002,PHI,2002-10-06 00:00:00,2002-10-06 16:14:00,Sun,1,0.0,3-1,HOME,28.0,25.0,16.0,267.0,197.0,70.0,0.0,28.0,406.0,207.0,199.0,0.0,1.99,-11.06,9.76
4,JAX,2002,TEN,2002-10-13 00:00:00,2002-10-13 16:03:00,Sun,0,0.0,3-2,AWAY,14.0,23.0,13.0,198.0,68.0,130.0,2.0,25.0,370.0,218.0,152.0,1.0,-0.75,-10.02,1.86
5,JAX,2002,BAL,2002-10-20 00:00:00,2002-10-20 13:02:00,Sun,0,0.0,3-3,AWAY,10.0,17.0,22.0,397.0,224.0,173.0,3.0,16.0,261.0,143.0,118.0,2.0,-9.84,7.13,-2.43
6,JAX,2002,HOU,2002-10-27 00:00:00,2002-10-27 16:15:00,Sun,0,0.0,3-4,HOME,19.0,21.0,18.0,290.0,164.0,126.0,0.0,12.0,242.0,161.0,81.0,1.0,0.08,5.89,-6.72
7,JAX,2002,NYG,2002-11-03 00:00:00,2002-11-03 20:39:00,Sun,0,0.0,3-5,AWAY,17.0,24.0,16.0,329.0,203.0,126.0,1.0,26.0,394.0,217.0,177.0,1.0,-3.18,-11.42,3.72
8,JAX,2002,WAS,2002-11-10 00:00:00,2002-11-10 16:05:00,Sun,1,0.0,4-5,HOME,26.0,7.0,18.0,309.0,167.0,142.0,0.0,23.0,307.0,239.0,68.0,3.0,-2.67,10.72,3.68
9,JAX,2002,HOU,2002-11-17 00:00:00,2002-11-17 13:02:00,Sun,1,0.0,5-5,AWAY,24.0,21.0,16.0,321.0,199.0,122.0,1.0,18.0,272.0,194.0,78.0,2.0,1.2,6.16,2.22
10,JAX,2002,DAL,2002-11-24 00:00:00,2002-11-24 13:03:00,Sun,0,0.0,5-6,AWAY,19.0,21.0,19.0,326.0,194.0,132.0,3.0,21.0,405.0,287.0,118.0,3.0,-6.66,0.45,1.77
11,JAX,2002,PIT,2002-12-01 00:00:00,2002-12-01 13:05:00,Sun,0,0.0,5-7,HOME,23.0,25.0,13.0,226.0,124.0,102.0,0.0,23.0,403.0,184.0,219.0,1.0,1.98,-2.44,-2.14
12,JAX,2002,CLE,2002-12-08 00:00:00,2002-12-08 13:03:00,Sun,0,0.0,5-8,HOME,20.0,21.0,13.0,211.0,54.0,157.0,0.0,21.0,417.0,244.0,173.0,2.0,-5.68,-6.04,9.76
13,JAX,2002,CIN,2002-12-15 00:00:00,2002-12-15 13:02:00,Sun,1,0.0,6-8,AWAY,29.0,15.0,20.0,321.0,212.0,109.0,0.0,19.0,300.0,235.0,65.0,2.0,8.38,8.34,-3.31
14,JAX,2002,TEN,2002-12-22 00:00:00,2002-12-22 13:03:00,Sun,0,0.0,6-9,HOME,10.0,28.0,13.0,214.0,139.0,75.0,1.0,20.0,298.0,123.0,175.0,0.0,-16.41,-5.42,5.43
15,JAX,2002,IND,2002-12-29 00:00:00,2002-12-29 16:05:00,Sun,0,0.0,6-10,AWAY,13.0,20.0,20.0,266.0,112.0,154.0,1.0,18.0,272.0,146.0,126.0,1.0,0.05,-3.49,-1.11
16,JAX,2003,CAR,2003-09-07 00:00:00,2003-09-07 13:04:00,Sun,0,0.0,0-1,AWAY,23.0,24.0,17.0,331.0,256.0,75.0,1.0,17.0,242.0,120.0,122.0,2.0,-2.11,9.96,-5.99
17,JAX,2003,BUF,2003-09-14 00:00:00,2003-09-14 13:03:00,Sun,0,0.0,0-2,HOME,17.0,38.0,20.0,287.0,192.0,95.0,0.0,20.0,371.0,328.0,43.0,0.0,3.7,-20.05,-3.22
18,JAX,2003,IND,2003-09-21 00:00:00,2003-09-21 13:00:00,Sun,0,0.0,0-3,AWAY,13.0,23.0,15.0,266.0,114.0,152.0,1.0,17.0,289.0,216.0,73.0,1.0,-3.43,-3.2,-4.65
19,JAX,2003,HOU,2003-09-28 00:00:00,2003-09-28 13:05:00,Sun,0,0.0,0-4,AWAY,20.0,24.0,15.0,342.0,263.0,79.0,5.0,21.0,339.0,229.0,110.0,4.0,-3.38,3.68,-4.3
20,JAX,2003,LAC,2003-10-05 00:00:00,2003-10-05 16:05:00,Sun,1,0.0,1-4,HOME,27.0,21.0,21.0,436.0,313.0,123.0,1.0,21.0,346.0,277.0,69.0,2.0,7.22,-4.02,6.41
21,JAX,2003,MIA,2003-10-12 00:00:00,2003-10-12 13:01:00,Sun,0,0.0,1-5,HOME,10.0,24.0,22.0,332.0,244.0,88.0,5.0,16.0,234.0,143.0,91.0,2.0,-16.38,6.71,-2.59
22,JAX,2003,TEN,2003-10-26 00:00:00,2003-10-26 13:01:00,Sun,0,0.0,1-6,HOME,17.0,30.0,15.0,293.0,239.0,54.0,3.0,23.0,320.0,187.0,133.0,1.0,-7.81,-8.08,2.89
23,JAX,2003,BAL,2003-11-02 00:00:00,2003-11-02 13:02:00,Sun,0,0.0,1-7,AWAY,17.0,24.0,20.0,320.0,186.0,134.0,3.0,9.0,259.0,156.0,103.0,2.0,-7.92,12.46,-8.22
24,JAX,2003,IND,2003-11-09 00:00:00,2003-11-09 13:02:00,Sun,1,0.0,2-7,HOME,28.0,23.0,20.0,353.0,179.0,174.0,2.0,20.0,394.0,347.0,47.0,2.0,14.33,-10.78,1.98
25,JAX,2003,TEN,2003-11-16 00:00:00,2003-11-16 13:02:00,Sun,0,0.0,2-8,AWAY,3.0,10.0,16.0,271.0,145.0,126.0,2.0,13.0,246.0,150.0,96.0,3.0,-18.02,14.37,-1.99
26,JAX,2003,NYJ,2003-11-23 00:00:00,2003-11-23 13:03:00,Sun,0,0.0,2-9,AWAY,10.0,13.0,20.0,330.0,172.0,158.0,2.0,17.0,282.0,221.0,61.0,1.0,-4.63,5.79,-0.33
27,JAX,2003,TAM,2003-11-30 00:00:00,2003-11-30 20:36:00,Sun,1,0.0,3-9,HOME,17.0,10.0,21.0,359.0,224.0,135.0,1.0,16.0,221.0,144.0,77.0,1.0,3.86,9.37,-1.1
28,JAX,2003,HOU,2003-12-07 00:00:00,2003-12-07 13:02:00,Sun,1,0.0,4-9,HOME,27.0,0.0,23.0,390.0,182.0,208.0,0.0,7.0,124.0,54.0,70.0,3.0,10.0,27.08,-8.83
29,JAX,2003,NWE,2003-12-14 00:00:00,2003-12-14 13:02:00,Sun,0,0.0,4-10,AWAY,13.0,27.0,17.0,354.0,282.0,72.0,2.0,18.0,296.0,212.0,84.0,1.0,-7.75,0.93,-4.63
30,JAX,2003,NOR,2003-12-21 00:00:00,2003-12-21 13:02:00,Sun,1,0.0,5-10,HOME,20.0,19.0,22.0,374.0,131.0,243.0,2.0,20.0,350.0,289.0,61.0,1.0,3.7,-3.57,-1.85
31,JAX,2003,ATL,2003-12-28 00:00:00,2003-12-28 13:03:00,Sun,0,0.0,5-11,AWAY,14.0,21.0,21.0,320.0,163.0,157.0,1.0,21.0,344.0,178.0,166.0,1.0,6.42,-12.24,0.47
32,JAX,2004,BUF,2004-09-12 00:00:00,2004-09-12 13:04:00,Sun,1,0,1-0,AWAY,13.0,10.0,14.0,225.0,142.0,83.0,2.0,16.0,242.0,147.0,95.0,2.0,-11.7,9.57,5.47
33,JAX,2004,DEN,2004-09-19 00:00:00,2004-09-19 13:02:00,Sun,1,0,2-0,HOME,7.0,6.0,8.0,176.0,109.0,67.0,0.0,20.0,356.0,250.0,106.0,1.0,-8.92,1.71,8.07
34,JAX,2004,TEN,2004-09-26 00:00:00,2004-09-26 13:02:00,Sun,1,0,3-0,AWAY,15.0,12.0,15.0,253.0,117.0,136.0,0.0,13.0,249.0,130.0,119.0,1.0,1.49,4.3,-2.36
35,JAX,2004,IND,2004-10-03 00:00:00,2004-10-03 13:02:00,Sun,0,0,3-1,HOME,17.0,24.0,23.0,408.0,311.0,97.0,1.0,23.0,337.0,220.0,117.0,1.0,5.96,-12.16,-2.13
36,JAX,2004,LAC,2004-10-10 00:00:00,2004-10-10 16:05:00,Sun,0,0,3-2,AWAY,21.0,34.0,28.0,429.0,349.0,80.0,3.0,18.0,386.0,210.0,176.0,0.0,6.64,-16.45,-0.74
37,JAX,2004,KAN,2004-10-17 00:00:00,2004-10-17 13:02:00,Sun,1,0,4-2,HOME,22.0,16.0,19.0,378.0,277.0,101.0,0.0,19.0,350.0,273.0,77.0,1.0,8.56,-7.18,5.09
38,JAX,2004,IND,2004-10-24 00:00:00,2004-10-24 13:00:00,Sun,1,0,5-2,AWAY,27.0,24.0,20.0,414.0,286.0,128.0,2.0,23.0,446.0,359.0,87.0,2.0,12.05,-15.27,5.52
39,JAX,2004,HOU,2004-10-31 00:00:00,2004-10-31 13:02:00,Sun,0,0,5-3,AWAY,6.0,20.0,14.0,287.0,248.0,39.0,2.0,24.0,369.0,276.0,93.0,2.0,-13.07,-2.54,1.56
40,JAX,2004,DET,2004-11-14 00:00:00,2004-11-14 13:04:00,Sun,1,1,6-3,HOME,23.0,17.0,22.0,415.0,176.0,239.0,0.0,10.0,190.0,109.0,81.0,1.0,-0.35,19.51,-13.16
41,JAX,2004,TEN,2004-11-21 00:00:00,2004-11-21 13:02:00,Sun,0,0,6-4,HOME,15.0,18.0,18.0,274.0,123.0,151.0,2.0,14.0,295.0,192.0,103.0,2.0,-8.61,3.35,0.91
42,JAX,2004,MIN,2004-11-28 00:00:00,2004-11-28 13:00:00,Sun,0,0,6-5,AWAY,16.0,27.0,18.0,379.0,225.0,154.0,2.0,24.0,330.0,218.0,112.0,2.0,-6.3,-9.12,6.06
43,JAX,2004,PIT,2004-12-05 00:00:00,2004-12-05 20:35:00,Sun,0,0,6-6,HOME,16.0,17.0,20.0,359.0,259.0,100.0,0.0,15.0,316.0,196.0,120.0,0.0,11.28,-9.62,0.48
44,JAX,2004,CHI,2004-12-12 00:00:00,2004-12-12 13:03:00,Sun,1,0,7-6,HOME,22.0,3.0,22.0,332.0,242.0,90.0,1.0,10.0,210.0,179.0,31.0,2.0,-7.52,21.83,3.4
45,JAX,2004,GNB,2004-12-19 00:00:00,2004-12-19 16:15:00,Sun,1,0,8-6,AWAY,28.0,25.0,19.0,312.0,115.0,197.0,2.0,26.0,444.0,350.0,94.0,5.0,3.61,2.51,0.25
46,JAX,2004,HOU,2004-12-26 00:00:00,2004-12-26 13:03:00,Sun,0,0,8-7,HOME,0.0,21.0,6.0,126.0,31.0,95.0,3.0,19.0,333.0,114.0,219.0,2.0,-29.9,-2.9,8.12
47,JAX,2004,LVR,2004-01-02 00:00:00,2004-01-02 16:15:00,Sun,1,0,9-7,AWAY,13.0,6.0,13.0,242.0,149.0,93.0,2.0,16.0,281.0,134.0,147.0,4.0,-12.4,17.24,2.25
48,JAX,2005,SEA,2005-09-11 00:00:00,2005-09-11 13:07:00,Sun,1,0,1-0,HOME,26.0,14.0,18.0,362.0,243.0,119.0,0.0,20.0,322.0,225.0,97.0,5.0,4.79,6.42,2.74
49,JAX,2005,IND,2005-09-18 00:00:00,2005-09-18 12:03:00,Sun,0,0,1-1,AWAY,3.0,10.0,12.0,303.0,175.0,128.0,0.0,18.0,268.0,122.0,146.0,1.0,-4.53,4.38,-1.88
50,JAX,2005,NYJ,2005-09-25 00:00:00,2005-09-25 13:03:00,Sun,1,1,2-1,AWAY,26.0,20.0,16.0,308.0,169.0,139.0,3.0,12.0,168.0,79.0,89.0,3.0,-13.0,12.72,7.44
51,JAX,2005,DEN,2005-10-02 00:00:00,2005-10-02 13:02:00,Sun,0,0,2-2,HOME,7.0,20.0,13.0,241.0,229.0,12.0,4.0,24.0,306.0,118.0,188.0,0.0,-16.32,-5.29,6.5
52,JAX,2005,CIN,2005-10-09 00:00:00,2005-10-09 20:36:00,Sun,1,0,3-2,HOME,23.0,20.0,19.0,342.0,161.0,181.0,1.0,20.0,364.0,232.0,132.0,1.0,1.43,2.41,-1.56
53,JAX,2005,PIT,2005-10-16 00:00:00,2005-10-16 13:02:00,Sun,1,1,4-2,AWAY,23.0,17.0,17.0,246.0,153.0,93.0,1.0,16.0,218.0,145.0,73.0,4.0,-11.28,17.8,-0.52
54,JAX,2005,LAR,2005-10-30 00:00:00,2005-10-30 13:02:00,Sun,0,0,4-3,AWAY,21.0,24.0,16.0,427.0,206.0,221.0,2.0,15.0,386.0,186.0,200.0,3.0,2.23,-0.39,-7.83
55,JAX,2005,HOU,2005-11-06 00:00:00,2005-11-06 13:01:00,Sun,1,0,5-3,HOME,21.0,14.0,18.0,312.0,214.0,98.0,0.0,17.0,279.0,191.0,88.0,1.0,8.91,0.31,-1.96
56,JAX,2005,BAL,2005-11-13 00:00:00,2005-11-13 13:01:00,Sun,1,0,6-3,HOME,30.0,3.0,20.0,338.0,205.0,133.0,0.0,8.0,163.0,110.0,53.0,3.0,2.67,27.25,-0.05
57,JAX,2005,TEN,2005-11-20 00:00:00,2005-11-20 13:02:00,Sun,1,0,7-3,AWAY,31.0,28.0,22.0,295.0,246.0,49.0,1.0,16.0,254.0,191.0,63.0,1.0,2.61,2.11,-0.67
58,JAX,2005,ARI,2005-11-27 00:00:00,2005-11-27 16:06:00,Sun,1,0,8-3,AWAY,24.0,17.0,19.0,295.0,133.0,162.0,0.0,23.0,368.0,301.0,67.0,2.0,2.62,-0.08,6.32
59,JAX,2005,CLE,2005-12-04 00:00:00,2005-12-04 13:03:00,Sun,1,0,9-3,AWAY,20.0,14.0,17.0,237.0,115.0,122.0,1.0,15.0,303.0,205.0,98.0,0.0,0.11,-1.88,6.55
60,JAX,2005,IND,2005-12-11 00:00:00,2005-12-11 13:01:00,Sun,0,0,9-4,HOME,18.0,26.0,18.0,324.0,250.0,74.0,3.0,25.0,399.0,300.0,99.0,0.0,-2.77,-11.97,5.97
61,JAX,2005,SFO,2005-12-18 00:00:00,2005-12-18 13:02:00,Sun,1,0,10-4,HOME,10.0,9.0,21.0,336.0,202.0,134.0,0.0,11.0,217.0,107.0,110.0,1.0,-5.4,16.29,-6.34
62,JAX,2005,HOU,2005-12-24 00:00:00,2005-12-24 13:03:00,Sat,1,0,11-4,AWAY,38.0,20.0,30.0,448.0,276.0,172.0,0.0,18.0,370.0,263.0,107.0,1.0,27.76,-7.86,0.07
