,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,KAN,2002,CLE,2002-09-08 13:04:00,Sun,1,1.0,0,1-0,AWAY,40.0,39.0,24.0,470.0,276.0,194.0,1.0,24.0,411.0,352.0,59.0,1.0,17.94,-15.18,-1.15
1,KAN,2002,JAX,2002-09-15 13:00:00,Sun,2,0.0,0,1-1,HOME,16.0,23.0,18.0,336.0,196.0,140.0,2.0,19.0,450.0,320.0,130.0,1.0,-0.18,-12.15,6.31
2,KAN,2002,NWE,2002-09-22 13:02:00,Sun,3,0.0,1,1-2,AWAY,38.0,41.0,21.0,349.0,128.0,221.0,3.0,27.0,496.0,399.0,97.0,1.0,9.56,-12.65,3.03
3,KAN,2002,MIA,2002-09-29 13:00:00,Sun,4,1.0,0,2-2,HOME,48.0,30.0,25.0,450.0,328.0,122.0,0.0,28.0,399.0,294.0,105.0,5.0,13.35,5.85,-5.34
4,KAN,2002,NYJ,2002-10-06 16:06:00,Sun,5,1.0,0,3-2,AWAY,29.0,25.0,24.0,504.0,289.0,215.0,1.0,23.0,359.0,212.0,147.0,1.0,17.92,-12.66,0.14
5,KAN,2002,LAC,2002-10-13 16:15:00,Sun,6,0.0,0,3-3,AWAY,34.0,35.0,17.0,319.0,231.0,88.0,2.0,27.0,465.0,312.0,153.0,5.0,0.67,-12.73,11.26
6,KAN,2002,DEN,2002-10-20 13:00:00,Sun,7,0.0,1,3-4,HOME,34.0,37.0,24.0,305.0,143.0,162.0,0.0,22.0,507.0,366.0,141.0,1.0,3.29,-16.11,10.89
7,KAN,2002,LVR,2002-10-27 13:00:00,Sun,8,1.0,0,4-4,HOME,20.0,10.0,22.0,323.0,190.0,133.0,2.0,26.0,417.0,334.0,83.0,2.0,5.26,-6.79,8.34
8,KAN,2002,SFO,2002-11-10 16:15:00,Sun,10,0.0,0,4-5,AWAY,13.0,17.0,14.0,256.0,176.0,80.0,0.0,22.0,323.0,168.0,155.0,1.0,-1.05,-5.65,3.74
9,KAN,2002,BUF,2002-11-17 13:00:00,Sun,11,1.0,0,5-5,HOME,17.0,16.0,22.0,320.0,192.0,128.0,0.0,21.0,344.0,211.0,133.0,1.0,18.46,-6.14,-6.79
10,KAN,2002,SEA,2002-11-24 16:05:00,Sun,12,0.0,0,5-6,AWAY,32.0,39.0,32.0,552.0,335.0,217.0,1.0,32.0,534.0,354.0,180.0,0.0,28.69,-35.34,0.93
11,KAN,2002,ARI,2002-12-01 13:00:00,Sun,13,1.0,0,6-6,HOME,49.0,0.0,27.0,477.0,261.0,216.0,1.0,10.0,122.0,96.0,26.0,4.0,27.99,33.04,-11.99
12,KAN,2002,LAR,2002-12-08 13:00:00,Sun,14,1.0,0,7-6,HOME,49.0,10.0,21.0,293.0,113.0,180.0,0.0,16.0,202.0,169.0,33.0,3.0,10.62,26.58,3.6
13,KAN,2002,DEN,2002-12-15 16:05:00,Sun,15,0.0,0,7-7,AWAY,24.0,31.0,22.0,494.0,309.0,185.0,0.0,24.0,482.0,285.0,197.0,3.0,16.79,-16.19,-4.99
14,KAN,2002,LAC,2002-12-22 13:00:00,Sun,16,1.0,0,8-7,HOME,24.0,22.0,19.0,376.0,323.0,53.0,1.0,20.0,383.0,235.0,148.0,1.0,8.72,3.76,-6.97
15,KAN,2002,LVR,2002-12-28 17:15:00,Sat,17,0.0,0,8-8,AWAY,0.0,24.0,11.0,176.0,132.0,44.0,1.0,26.0,354.0,74.0,280.0,1.0,-18.14,-7.18,2.79
16,KAN,2003,LAC,2003-09-07 13:00:00,Sun,1,1.0,0,1-0,HOME,27.0,14.0,19.0,390.0,259.0,131.0,2.0,13.0,232.0,168.0,64.0,2.0,1.91,11.32,0.21
17,KAN,2003,PIT,2003-09-14 13:00:00,Sun,2,1.0,0,2-0,HOME,41.0,20.0,19.0,282.0,123.0,159.0,2.0,16.0,380.0,320.0,60.0,4.0,0.99,18.24,2.99
18,KAN,2003,HOU,2003-09-21 13:02:00,Sun,3,1.0,0,3-0,AWAY,42.0,14.0,27.0,426.0,258.0,168.0,2.0,20.0,316.0,209.0,107.0,4.0,15.91,11.37,3.61
19,KAN,2003,BAL,2003-09-28 16:05:00,Sun,4,1.0,0,4-0,AWAY,17.0,10.0,15.0,265.0,136.0,129.0,0.0,22.0,326.0,124.0,202.0,4.0,-4.73,3.35,7.94
20,KAN,2003,DEN,2003-10-05 13:00:00,Sun,5,1.0,0,5-0,HOME,24.0,23.0,13.0,262.0,129.0,133.0,2.0,22.0,468.0,292.0,176.0,1.0,-7.03,-7.21,17.15
21,KAN,2003,GNB,2003-10-12 13:02:00,Sun,6,1.0,1,6-0,AWAY,40.0,34.0,22.0,482.0,400.0,82.0,0.0,24.0,440.0,257.0,183.0,2.0,16.74,-3.51,-4.36
22,KAN,2003,LVR,2003-10-20 21:05:00,Mon,7,1.0,0,7-0,AWAY,17.0,10.0,16.0,319.0,194.0,125.0,1.0,25.0,357.0,257.0,100.0,3.0,-1.22,3.47,3.08
23,KAN,2003,BUF,2003-10-26 20:30:00,Sun,8,1.0,0,8-0,HOME,38.0,5.0,22.0,375.0,275.0,100.0,0.0,15.0,266.0,133.0,133.0,7.0,13.53,25.87,-6.24
