,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,LAC,2002,CIN,2002-09-08 13:04:00,Sun,1,1.0,0,1-0,AWAY,34.0,6.0,27.0,401.0,160.0,241.0,0.0,13.0,203.0,167.0,36.0,1.0,22.74,7.0,-3.17
1,LAC,2002,HOU,2002-09-15 16:15:00,Sun,2,1.0,0,2-0,HOME,24.0,3.0,16.0,267.0,143.0,124.0,1.0,7.0,118.0,29.0,89.0,3.0,-7.35,42.11,-13.25
2,LAC,2002,ARI,2002-09-22 16:05:00,Sun,3,1.0,0,3-0,AWAY,23.0,15.0,19.0,289.0,164.0,125.0,1.0,15.0,297.0,200.0,97.0,3.0,-2.1,9.41,-0.09
3,LAC,2002,NWE,2002-09-29 16:15:00,Sun,4,1.0,0,4-0,HOME,21.0,14.0,14.0,342.0,104.0,238.0,1.0,25.0,440.0,353.0,87.0,3.0,7.34,-0.74,0.65
4,LAC,2002,DEN,2002-10-06 16:05:00,Sun,5,0.0,0,4-1,AWAY,9.0,26.0,16.0,314.0,235.0,79.0,3.0,20.0,417.0,300.0,117.0,1.0,-9.51,-7.75,1.03
5,LAC,2002,KAN,2002-10-13 16:15:00,Sun,6,1.0,0,5-1,HOME,35.0,34.0,27.0,465.0,312.0,153.0,5.0,17.0,319.0,231.0,88.0,2.0,12.73,-0.67,-11.26
6,LAC,2002,LVR,2002-10-20 16:05:00,Sun,7,1.0,1,6-1,AWAY,27.0,21.0,24.0,333.0,161.0,172.0,0.0,26.0,390.0,353.0,37.0,1.0,10.49,-13.94,8.51
7,LAC,2002,NYJ,2002-11-03 16:05:00,Sun,9,0.0,0,6-2,HOME,13.0,44.0,15.0,243.0,170.0,73.0,3.0,21.0,413.0,248.0,165.0,0.0,-11.63,-13.34,-7.92
8,LAC,2002,LAR,2002-11-10 13:02:00,Sun,10,0.0,0,6-3,AWAY,24.0,28.0,15.0,256.0,130.0,126.0,2.0,25.0,524.0,453.0,71.0,4.0,-5.1,-0.7,1.87
9,LAC,2002,SFO,2002-11-17 16:05:00,Sun,11,1.0,1,7-3,HOME,20.0,17.0,26.0,441.0,336.0,105.0,1.0,21.0,467.0,331.0,136.0,1.0,6.43,-9.51,6.08
10,LAC,2002,MIA,2002-11-24 13:02:00,Sun,12,0.0,0,7-4,AWAY,3.0,30.0,12.0,144.0,80.0,64.0,2.0,24.0,413.0,191.0,222.0,0.0,-11.9,-15.44,-0.15
11,LAC,2002,DEN,2002-12-01 16:05:00,Sun,13,1.0,1,8-4,HOME,30.0,27.0,25.0,434.0,214.0,220.0,0.0,20.0,417.0,261.0,156.0,3.0,11.93,3.03,-12.29
