,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,LAR,2002,DEN,2002-09-08 16:17:00,Sun,1,0.0,0.0,0-1,AWAY,16.0,23.0,15.0,327.0,295.0,32.0,2.0,18.0,291.0,187.0,104.0,2.0,0.94,2.6,-13.77
1,LAR,2002,NYG,2002-09-15 15:05:00,Sun,2,0.0,0.0,0-2,HOME,21.0,26.0,18.0,352.0,260.0,92.0,4.0,16.0,394.0,291.0,103.0,1.0,-4.55,-3.39,3.13
2,LAR,2002,TAM,2002-09-23 21:07:00,Mon,3,0.0,0.0,0-3,AWAY,14.0,26.0,21.0,358.0,269.0,89.0,4.0,14.0,252.0,189.0,63.0,1.0,-11.79,5.94,-4.62
3,LAR,2002,DAL,2002-09-29 13:02:00,Sun,4,0.0,0.0,0-4,HOME,10.0,13.0,19.0,366.0,273.0,93.0,3.0,17.0,315.0,193.0,122.0,2.0,-2.99,6.79,-4.66
4,LAR,2002,SFO,2002-10-06 16:15:00,Sun,5,0.0,0.0,0-5,AWAY,13.0,37.0,19.0,313.0,225.0,88.0,2.0,21.0,386.0,207.0,179.0,0.0,-6.67,-18.9,3.36
5,LAR,2002,LVR,2002-10-13 16:15:00,Sun,6,1.0,0.0,1-5,HOME,28.0,13.0,19.0,322.0,164.0,158.0,1.0,20.0,367.0,302.0,65.0,3.0,-1.48,10.37,4.2
6,LAR,2002,SEA,2002-10-20 13:02:00,Sun,7,1.0,0.0,2-5,HOME,37.0,20.0,28.0,478.0,260.0,218.0,2.0,13.0,290.0,240.0,50.0,3.0,8.43,12.16,-4.82
7,LAR,2002,ARI,2002-11-03 16:15:00,Sun,9,1.0,0.0,3-5,AWAY,27.0,14.0,23.0,415.0,223.0,192.0,2.0,13.0,235.0,171.0,64.0,3.0,6.93,14.26,-6.58
8,LAR,2002,LAC,2002-11-10 13:02:00,Sun,10,1.0,0.0,4-5,HOME,28.0,24.0,25.0,524.0,453.0,71.0,4.0,15.0,256.0,130.0,126.0,2.0,0.7,5.1,-1.87
9,LAR,2002,CHI,2002-11-18 21:07:00,Mon,11,1.0,0.0,5-5,HOME,21.0,16.0,21.0,388.0,327.0,61.0,2.0,16.0,220.0,117.0,103.0,0.0,9.16,8.46,-11.45
10,LAR,2002,WAS,2002-11-24 13:01:00,Sun,12,0.0,0.0,5-6,AWAY,17.0,20.0,25.0,364.0,280.0,84.0,2.0,21.0,362.0,235.0,127.0,0.0,7.89,-15.91,4.17
11,LAR,2002,PHI,2002-12-01 16:15:00,Sun,13,0.0,0.0,5-7,AWAY,3.0,10.0,13.0,250.0,174.0,76.0,5.0,12.0,265.0,157.0,108.0,4.0,-33.67,24.88,-0.34
12,LAR,2002,KAN,2002-12-08 13:00:00,Sun,14,0.0,0.0,5-8,AWAY,10.0,49.0,16.0,202.0,169.0,33.0,3.0,21.0,293.0,113.0,180.0,0.0,-26.58,-10.62,-3.6
13,LAR,2002,ARI,2002-12-15 20:35:00,Sun,15,1.0,0.0,6-8,HOME,30.0,28.0,20.0,366.0,300.0,66.0,2.0,20.0,378.0,249.0,129.0,2.0,3.84,-7.03,5.17
14,LAR,2002,SEA,2002-12-22 16:05:00,Sun,16,0.0,0.0,6-9,AWAY,10.0,30.0,17.0,271.0,254.0,17.0,5.0,26.0,392.0,292.0,100.0,1.0,-17.73,-13.35,9.36
15,LAR,2002,SFO,2002-12-30 21:07:00,Mon,17,1.0,0.0,7-9,HOME,31.0,20.0,16.0,263.0,228.0,35.0,2.0,19.0,329.0,136.0,193.0,2.0,-4.38,4.49,9.02
16,LAR,2003,NYG,2003-09-07 13:05:00,Sun,1,0.0,0,0-1,AWAY,13.0,23.0,18.0,355.0,315.0,40.0,4.0,15.0,336.0,187.0,149.0,3.0,-19.7,10.17,0.82
17,LAR,2003,SFO,2003-09-14 13:02:00,Sun,2,1.0,1,1-1,HOME,27.0,24.0,21.0,278.0,190.0,88.0,4.0,20.0,390.0,242.0,148.0,1.0,4.02,2.54,-3.88
18,LAR,2003,SEA,2003-09-21 16:06:00,Sun,3,0.0,0,1-2,AWAY,23.0,24.0,19.0,308.0,226.0,82.0,3.0,20.0,316.0,220.0,96.0,1.0,0.59,14.01,-9.97
19,LAR,2003,ARI,2003-09-28 13:02:00,Sun,4,1.0,0,2-2,HOME,37.0,13.0,34.0,401.0,268.0,133.0,1.0,7.0,161.0,125.0,36.0,3.0,21.23,17.15,-13.9
20,LAR,2003,ATL,2003-10-13 21:00:00,Mon,6,1.0,0,3-2,HOME,36.0,0.0,26.0,496.0,377.0,119.0,3.0,9.0,209.0,136.0,73.0,4.0,13.08,24.96,0.52
21,LAR,2003,GNB,2003-10-19 13:02:00,Sun,7,1.0,0,4-2,HOME,34.0,24.0,22.0,370.0,239.0,131.0,2.0,22.0,372.0,256.0,116.0,4.0,6.52,-2.24,7.44
22,LAR,2003,PIT,2003-10-26 13:02:00,Sun,8,1.0,0,5-2,AWAY,33.0,21.0,26.0,448.0,359.0,89.0,0.0,11.0,245.0,151.0,94.0,4.0,8.47,16.63,-12.32
23,LAR,2003,SFO,2003-11-02 16:17:00,Sun,9,0.0,0,5-3,AWAY,10.0,30.0,18.0,340.0,331.0,9.0,3.0,24.0,389.0,224.0,165.0,2.0,-5.3,-10.18,-7.14
24,LAR,2003,BAL,2003-11-09 20:38:00,Sun,10,1.0,0,6-3,HOME,33.0,22.0,7.0,121.0,74.0,47.0,4.0,16.0,267.0,122.0,145.0,7.0,-23.82,42.28,-4.81
25,LAR,2003,CHI,2003-11-16 13:03:00,Sun,11,1.0,0,7-3,AWAY,23.0,21.0,22.0,320.0,208.0,112.0,3.0,13.0,241.0,146.0,95.0,2.0,-3.76,7.84,-3.78
26,LAR,2003,ARI,2003-11-23 16:06:00,Sun,12,1.0,1,8-3,AWAY,30.0,27.0,26.0,415.0,298.0,117.0,5.0,15.0,358.0,192.0,166.0,2.0,-7.29,11.13,-0.81
27,LAR,2003,MIN,2003-11-30 13:02:00,Sun,13,1.0,0,9-3,HOME,48.0,17.0,21.0,396.0,255.0,141.0,1.0,25.0,465.0,276.0,189.0,3.0,20.91,6.86,3.23
28,LAR,2003,CLE,2003-12-08 21:09:00,Mon,14,1.0,0,10-3,AWAY,26.0,20.0,18.0,328.0,210.0,118.0,1.0,18.0,309.0,147.0,162.0,4.0,-2.04,15.37,-5.5
29,LAR,2003,SEA,2003-12-14 13:02:00,Sun,15,1.0,0,11-3,HOME,27.0,22.0,21.0,316.0,230.0,86.0,1.0,22.0,366.0,231.0,135.0,1.0,9.87,-4.99,-1.76
30,LAR,2003,CIN,2003-12-21 13:02:00,Sun,16,1.0,0,12-3,HOME,27.0,10.0,23.0,371.0,228.0,143.0,1.0,14.0,286.0,187.0,99.0,3.0,11.03,9.3,-1.4
31,LAR,2003,DET,2003-12-28 13:03:00,Sun,17,0.0,0,12-4,AWAY,20.0,30.0,13.0,194.0,153.0,41.0,3.0,21.0,342.0,230.0,112.0,2.0,-21.13,-2.08,8.46
32,LAR,2003,CAR,2004-01-10 16:30:00,Sat,19,0.0,1,12-5,HOME,23.0,29.0,23.0,380.0,316.0,64.0,3.0,24.0,485.0,269.0,216.0,1.0,0.65,-10.44,2.42
33,LAR,2004,ARI,2004-09-12 13:04:00,Sun,1,1.0,0,1-0,HOME,17.0,10.0,27.0,448.0,272.0,176.0,3.0,14.0,260.0,157.0,103.0,0.0,6.1,2.95,-7.1
34,LAR,2004,ATL,2004-09-19 13:03:00,Sun,2,0.0,0,1-1,AWAY,17.0,34.0,14.0,280.0,250.0,30.0,2.0,22.0,416.0,174.0,242.0,0.0,-0.19,-18.03,1.33
35,LAR,2004,NOR,2004-09-26 13:02:00,Sun,3,0.0,1,1-2,HOME,25.0,28.0,25.0,403.0,325.0,78.0,1.0,27.0,462.0,316.0,146.0,0.0,11.05,-9.53,-2.39
36,LAR,2004,SFO,2004-10-03 20:38:00,Sun,4,1.0,0,2-2,AWAY,24.0,14.0,24.0,360.0,186.0,174.0,0.0,26.0,332.0,274.0,58.0,2.0,16.57,-3.54,-3.66
37,LAR,2004,SEA,2004-10-10 16:15:00,Sun,5,1.0,1,3-2,AWAY,33.0,27.0,21.0,441.0,317.0,124.0,3.0,20.0,391.0,204.0,187.0,0.0,12.51,-9.08,3.55
38,LAR,2004,TAM,2004-10-18 21:09:00,Mon,6,1.0,0,4-2,HOME,28.0,21.0,14.0,324.0,230.0,94.0,2.0,17.0,332.0,277.0,55.0,4.0,-1.5,14.15,-4.57
39,LAR,2004,MIA,2004-10-24 13:02:00,Sun,7,0.0,0,4-3,AWAY,14.0,31.0,20.0,372.0,269.0,103.0,1.0,19.0,323.0,206.0,117.0,0.0,5.61,-15.6,-5.37
40,LAR,2004,NWE,2004-11-07 16:15:00,Sun,9,0.0,0,4-4,HOME,22.0,40.0,21.0,340.0,259.0,81.0,3.0,22.0,376.0,229.0,147.0,1.0,0.34,-9.69,-8.04
41,LAR,2004,SEA,2004-11-14 13:02:00,Sun,10,1.0,0,5-4,HOME,23.0,12.0,24.0,462.0,260.0,202.0,2.0,20.0,372.0,172.0,200.0,2.0,7.68,8.54,-5.96
42,LAR,2004,BUF,2004-11-21 13:02:00,Sun,11,0.0,0,5-5,AWAY,17.0,37.0,19.0,270.0,235.0,35.0,4.0,16.0,294.0,175.0,119.0,1.0,-10.98,4.17,-13.72
43,LAR,2004,GNB,2004-11-29 21:09:00,Mon,12,0.0,0,5-6,AWAY,17.0,45.0,25.0,452.0,405.0,47.0,3.0,22.0,446.0,215.0,231.0,0.0,-4.68,-23.73,1.18
44,LAR,2004,SFO,2004-12-05 13:02:00,Sun,13,1.0,0,6-6,HOME,16.0,6.0,19.0,350.0,214.0,136.0,2.0,9.0,160.0,97.0,63.0,1.0,-0.05,14.14,-2.4
45,LAR,2004,CAR,2004-12-12 16:15:00,Sun,14,0.0,0,6-7,AWAY,7.0,20.0,11.0,292.0,226.0,66.0,7.0,18.0,308.0,189.0,119.0,2.0,-18.15,4.65,-2.04
