,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,LVR,2002,SEA,2002-09-08 16:17:00,Sun,1,1.0,0,1-0,HOME,31.0,17.0,27.0,423.0,202.0,221.0,2.0,14.0,186.0,143.0,43.0,0.0,15.4,1.72,0.77
1,LVR,2002,PIT,2002-09-15 20:35:00,Sun,2,1.0,0,2-0,AWAY,30.0,17.0,27.0,464.0,369.0,95.0,2.0,14.0,273.0,201.0,72.0,5.0,-1.56,17.3,-2.74
2,LVR,2002,TEN,2002-09-29 16:15:00,Sun,4,1.0,0,3-0,HOME,52.0,25.0,24.0,464.0,374.0,90.0,1.0,23.0,430.0,387.0,43.0,4.0,2.23,23.7,0.79
3,LVR,2002,BUF,2002-10-06 13:02:00,Sun,5,1.0,0,4-0,AWAY,49.0,31.0,24.0,495.0,353.0,142.0,0.0,29.0,479.0,399.0,80.0,3.0,25.13,-6.76,-4.04
4,LVR,2002,LAR,2002-10-13 16:15:00,Sun,6,0.0,0,4-1,AWAY,13.0,28.0,20.0,367.0,302.0,65.0,3.0,19.0,322.0,164.0,158.0,1.0,-10.37,1.48,-4.2
5,LVR,2002,LAC,2002-10-20 16:05:00,Sun,7,0.0,1,4-2,HOME,21.0,27.0,26.0,390.0,353.0,37.0,1.0,24.0,333.0,161.0,172.0,0.0,13.94,-10.49,-8.51
6,LVR,2002,KAN,2002-10-27 13:00:00,Sun,8,0.0,0,4-3,AWAY,10.0,20.0,26.0,417.0,334.0,83.0,2.0,22.0,323.0,190.0,133.0,2.0,6.79,-5.26,-8.34
7,LVR,2002,SFO,2002-11-03 16:15:00,Sun,9,0.0,1,4-4,HOME,20.0,23.0,15.0,239.0,158.0,81.0,1.0,30.0,434.0,282.0,152.0,1.0,7.17,-13.83,3.8
8,LVR,2002,DEN,2002-11-11 21:09:00,Mon,10,1.0,0,5-4,AWAY,34.0,10.0,20.0,374.0,347.0,27.0,0.0,27.0,342.0,265.0,77.0,1.0,19.33,4.78,-2.01
9,LVR,2002,NWE,2002-11-17 20:36:00,Sun,11,1.0,0,6-4,HOME,27.0,20.0,22.0,386.0,289.0,97.0,1.0,12.0,195.0,147.0,48.0,1.0,4.63,12.12,-8.7
10,LVR,2002,ARI,2002-11-24 16:05:00,Sun,12,1.0,0,7-4,AWAY,41.0,20.0,28.0,520.0,333.0,187.0,1.0,15.0,263.0,131.0,132.0,3.0,14.69,11.97,-1.82
11,LVR,2002,NYJ,2002-12-02 21:08:00,Mon,13,1.0,0,8-4,HOME,26.0,20.0,25.0,411.0,313.0,98.0,0.0,18.0,274.0,242.0,32.0,2.0,8.24,-5.08,1.17
12,LVR,2002,LAC,2002-12-08 16:15:00,Sun,14,1.0,0,9-4,AWAY,27.0,7.0,22.0,393.0,326.0,67.0,0.0,19.0,291.0,226.0,65.0,3.0,11.59,10.29,-4.56
13,LVR,2002,MIA,2002-12-15 13:02:00,Sun,15,0.0,0,9-5,AWAY,17.0,23.0,14.0,218.0,162.0,56.0,2.0,21.0,334.0,213.0,121.0,1.0,-6.19,-2.8,1.53
14,LVR,2002,DEN,2002-12-22 16:15:00,Sun,16,1.0,0,10-5,HOME,28.0,16.0,20.0,322.0,186.0,136.0,2.0,21.0,324.0,243.0,81.0,3.0,7.31,13.64,-7.57
15,LVR,2002,KAN,2002-12-28 17:15:00,Sat,17,1.0,0,11-5,HOME,24.0,0.0,26.0,354.0,74.0,280.0,1.0,11.0,176.0,132.0,44.0,1.0,7.18,18.14,-2.79
16,LVR,2002,NYJ,2003-01-12 16:45:00,Sun,19,1.0,0,12-5,HOME,30.0,10.0,20.0,399.0,272.0,127.0,1.0,20.0,287.0,167.0,120.0,4.0,11.57,16.81,-12.23
17,LVR,2002,TEN,2003-01-19 18:47:00,Sun,20,1.0,0,13-5,HOME,41.0,24.0,25.0,375.0,286.0,89.0,1.0,28.0,312.0,174.0,138.0,2.0,15.54,-5.39,6.0
