,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,NOR,2002,TAM,2002-09-08 16:15:00,Sun,1,1.0,1,1-0,AWAY,26.0,20.0,21.0,368.0,250.0,118.0,1.0,19.0,333.0,261.0,72.0,1.0,-0.63,7.7,-2.34
1,NOR,2002,GNB,2002-09-15 13:04:00,Sun,2,1.0,0,2-0,HOME,35.0,20.0,16.0,357.0,211.0,146.0,2.0,18.0,357.0,262.0,95.0,4.0,4.31,17.86,-5.38
2,NOR,2002,CHI,2002-09-22 13:05:00,Sun,3,1.0,0,3-0,AWAY,29.0,23.0,18.0,302.0,229.0,73.0,3.0,21.0,353.0,228.0,125.0,2.0,0.64,-0.58,6.03
3,NOR,2002,DET,2002-09-29 13:03:00,Sun,4,0.0,0,3-1,AWAY,21.0,26.0,24.0,357.0,247.0,110.0,3.0,16.0,352.0,267.0,85.0,0.0,-1.22,-0.35,-6.77
4,NOR,2002,PIT,2002-10-06 13:02:00,Sun,5,1.0,0,4-1,HOME,32.0,29.0,17.0,315.0,194.0,121.0,0.0,23.0,364.0,244.0,120.0,2.0,7.37,-9.84,9.78
5,NOR,2002,WAS,2002-10-13 13:01:00,Sun,6,1.0,0,5-1,AWAY,43.0,27.0,16.0,311.0,192.0,119.0,1.0,20.0,318.0,264.0,54.0,5.0,-10.02,13.31,12.3
6,NOR,2002,SFO,2002-10-20 13:03:00,Sun,7,1.0,0,6-1,HOME,35.0,27.0,27.0,422.0,243.0,179.0,1.0,26.0,418.0,275.0,143.0,2.0,15.59,-14.05,4.59
7,NOR,2002,ATL,2002-10-27 13:03:00,Sun,8,0.0,0,6-2,HOME,35.0,37.0,22.0,351.0,192.0,159.0,3.0,28.0,446.0,186.0,260.0,2.0,9.44,-18.53,8.15
8,NOR,2002,CAR,2002-11-10 13:02:00,Sun,10,1.0,0,7-2,AWAY,34.0,24.0,17.0,345.0,248.0,97.0,0.0,21.0,396.0,296.0,100.0,2.0,2.62,1.3,8.21
9,NOR,2002,ATL,2002-11-17 13:05:00,Sun,11,0.0,0,7-3,AWAY,17.0,24.0,16.0,344.0,264.0,80.0,2.0,22.0,292.0,137.0,155.0,1.0,4.23,-8.91,-1.96
10,NOR,2002,CLE,2002-11-24 13:02:00,Sun,12,0.0,0,7-4,HOME,15.0,24.0,19.0,383.0,309.0,74.0,6.0,17.0,339.0,176.0,163.0,2.0,-24.17,9.54,0.8
11,NOR,2002,TAM,2002-12-01 20:37:00,Sun,13,1.0,0,8-4,HOME,23.0,20.0,14.0,238.0,136.0,102.0,1.0,17.0,283.0,249.0,34.0,3.0,-4.22,4.74,0.71
12,NOR,2002,BAL,2002-12-08 16:05:00,Sun,14,1.0,0,9-4,AWAY,37.0,25.0,22.0,359.0,209.0,150.0,2.0,19.0,410.0,296.0,114.0,5.0,6.9,4.88,4.33
13,NOR,2002,MIN,2002-12-15 13:04:00,Sun,15,0.0,0,9-5,HOME,31.0,32.0,18.0,299.0,221.0,78.0,0.0,22.0,439.0,293.0,146.0,0.0,7.61,-19.58,12.01
14,NOR,2002,CIN,2002-12-22 13:02:00,Sun,16,0.0,0,9-6,AWAY,13.0,20.0,11.0,210.0,177.0,33.0,2.0,25.0,423.0,183.0,240.0,4.0,-23.34,3.29,7.13
15,NOR,2002,CAR,2002-12-29 13:02:00,Sun,17,0.0,0,9-7,HOME,6.0,10.0,13.0,244.0,119.0,125.0,3.0,13.0,273.0,188.0,85.0,3.0,-25.33,17.16,2.67
16,NOR,2003,SEA,2003-09-07 16:18:00,Sun,1,0.0,0,0-1,AWAY,10.0,27.0,20.0,359.0,263.0,96.0,4.0,17.0,270.0,119.0,151.0,0.0,-16.63,-2.0,2.93
17,NOR,2003,HOU,2003-09-14 13:02:00,Sun,2,1.0,0,1-1,HOME,31.0,10.0,12.0,292.0,182.0,110.0,0.0,16.0,258.0,183.0,75.0,2.0,-0.08,19.95,1.55
18,NOR,2003,TEN,2003-09-21 13:03:00,Sun,3,0.0,0,1-2,AWAY,12.0,27.0,11.0,188.0,165.0,23.0,2.0,28.0,385.0,280.0,105.0,1.0,-4.97,-17.19,2.83
19,NOR,2003,IND,2003-09-28 20:37:00,Sun,4,0.0,0,1-3,HOME,21.0,55.0,20.0,363.0,208.0,155.0,4.0,20.0,418.0,318.0,100.0,0.0,-10.55,-25.12,-3.15
20,NOR,2003,CAR,2003-10-05 13:02:00,Sun,5,0.0,0,1-4,AWAY,13.0,19.0,17.0,344.0,189.0,155.0,1.0,21.0,309.0,124.0,185.0,1.0,7.13,-3.11,-8.32
