,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,NYG,2002,SFO,2002-09-05 20:38:00,Thu,1,0.0,0,0-1,HOME,13.0,16.0,21.0,361.0,318.0,43.0,3.0,13.0,279.0,166.0,113.0,1.0,-4.72,-0.79,3.46
1,NYG,2002,LAR,2002-09-15 15:05:00,Sun,2,1.0,0,1-1,AWAY,26.0,21.0,16.0,394.0,291.0,103.0,1.0,18.0,352.0,260.0,92.0,4.0,3.39,4.55,-3.13
2,NYG,2002,SEA,2002-09-22 16:14:00,Sun,3,1.0,0,2-1,HOME,9.0,6.0,21.0,351.0,257.0,94.0,0.0,7.0,145.0,105.0,40.0,1.0,-2.43,13.27,-5.93
3,NYG,2002,ARI,2002-09-29 16:04:00,Sun,4,0.0,0,2-2,AWAY,7.0,21.0,14.0,263.0,196.0,67.0,3.0,18.0,263.0,161.0,102.0,1.0,-21.35,0.97,6.43
4,NYG,2002,DAL,2002-10-06 13:03:00,Sun,5,1.0,0,3-2,AWAY,21.0,17.0,16.0,316.0,212.0,104.0,2.0,20.0,340.0,245.0,95.0,0.0,2.53,-1.18,0.17
5,NYG,2002,ATL,2002-10-13 13:03:00,Sun,6,0.0,0,3-3,HOME,10.0,17.0,18.0,303.0,190.0,113.0,2.0,15.0,313.0,246.0,67.0,0.0,3.13,-12.96,0.53
6,NYG,2002,PHI,2002-10-28 21:08:00,Mon,8,0.0,0,3-4,AWAY,3.0,17.0,18.0,348.0,245.0,103.0,1.0,21.0,422.0,127.0,295.0,0.0,-4.95,-7.97,3.24
7,NYG,2002,JAX,2002-11-03 20:39:00,Sun,9,1.0,0,4-4,HOME,24.0,17.0,26.0,394.0,217.0,177.0,1.0,16.0,329.0,203.0,126.0,1.0,11.42,3.18,-3.72
8,NYG,2002,MIN,2002-11-10 13:00:00,Sun,10,1.0,0,5-4,AWAY,27.0,20.0,26.0,460.0,291.0,169.0,1.0,17.0,356.0,132.0,224.0,2.0,6.06,2.37,-4.55
9,NYG,2002,WAS,2002-11-17 13:04:00,Sun,11,1.0,0,6-4,HOME,19.0,17.0,21.0,299.0,211.0,88.0,3.0,12.0,166.0,106.0,60.0,2.0,-16.51,13.41,7.34
10,NYG,2002,HOU,2002-11-24 16:15:00,Sun,12,0.0,0,6-5,AWAY,14.0,16.0,19.0,369.0,201.0,168.0,3.0,12.0,212.0,89.0,123.0,1.0,-6.63,16.72,-9.19
11,NYG,2002,TEN,2002-12-01 13:03:00,Sun,13,0.0,1,6-6,HOME,29.0,32.0,24.0,345.0,283.0,62.0,0.0,31.0,476.0,334.0,142.0,1.0,12.84,-20.69,3.93
12,NYG,2002,WAS,2002-12-08 13:02:00,Sun,14,1.0,0,7-6,AWAY,27.0,21.0,16.0,316.0,205.0,111.0,0.0,23.0,447.0,315.0,132.0,5.0,1.72,4.37,1.23
13,NYG,2002,DAL,2002-12-15 16:16:00,Sun,15,1.0,0,8-6,HOME,37.0,7.0,20.0,377.0,220.0,157.0,0.0,14.0,241.0,137.0,104.0,3.0,8.02,27.51,-6.13
14,NYG,2002,IND,2002-12-22 13:00:00,Sun,16,1.0,0,9-6,AWAY,44.0,27.0,24.0,469.0,366.0,103.0,3.0,20.0,399.0,349.0,50.0,2.0,15.73,3.68,-2.2
15,NYG,2002,PHI,2002-12-28 13:36:00,Sat,17,1.0,1,10-6,HOME,10.0,7.0,23.0,461.0,248.0,213.0,4.0,9.0,209.0,144.0,65.0,1.0,-3.33,10.8,-3.62
16,NYG,2002,SFO,2003-01-05 16:47:00,Sun,18,0.0,0,10-7,AWAY,38.0,39.0,26.0,446.0,327.0,119.0,1.0,23.0,446.0,356.0,90.0,2.0,16.48,-17.44,4.0
17,NYG,2003,LAR,2003-09-07 13:05:00,Sun,1,1.0,0,1-0,HOME,23.0,13.0,15.0,336.0,187.0,149.0,3.0,18.0,355.0,315.0,40.0,4.0,-10.17,19.7,-0.82
18,NYG,2003,DAL,2003-09-15 21:08:00,Mon,2,0.0,1,1-1,HOME,32.0,35.0,20.0,309.0,256.0,53.0,3.0,24.0,403.0,296.0,107.0,1.0,-4.73,3.89,-1.1
