,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,PHI,2002,TEN,2002-09-08 13:06:00,Sun,1,0.0,0,0-1,AWAY,24.0,27.0,17.0,261.0,181.0,80.0,3.0,22.0,328.0,267.0,61.0,4.0,-8.59,-3.0,8.8
1,PHI,2002,WAS,2002-09-16 21:05:00,Mon,2,1.0,0,1-1,AWAY,37.0,7.0,22.0,451.0,283.0,168.0,0.0,11.0,179.0,90.0,89.0,3.0,11.3,18.03,-0.76
2,PHI,2002,DAL,2002-09-22 13:02:00,Sun,3,1.0,0,2-1,HOME,44.0,13.0,26.0,447.0,294.0,153.0,2.0,18.0,304.0,183.0,121.0,4.0,22.83,16.63,-9.87
3,PHI,2002,HOU,2002-09-29 13:02:00,Sun,4,1.0,0,3-1,HOME,35.0,17.0,21.0,391.0,289.0,102.0,3.0,12.0,242.0,151.0,91.0,3.0,2.55,20.1,-3.87
4,PHI,2002,JAX,2002-10-06 16:14:00,Sun,5,0.0,0,3-2,AWAY,25.0,28.0,28.0,406.0,207.0,199.0,0.0,16.0,267.0,197.0,70.0,0.0,11.06,-1.99,-9.76
5,PHI,2002,TAM,2002-10-20 16:15:00,Sun,7,1.0,0,4-2,HOME,20.0,10.0,14.0,269.0,110.0,159.0,2.0,15.0,207.0,126.0,81.0,2.0,-9.93,16.57,5.43
6,PHI,2002,NYG,2002-10-28 21:08:00,Mon,8,1.0,0,5-2,HOME,17.0,3.0,21.0,422.0,127.0,295.0,0.0,18.0,348.0,245.0,103.0,1.0,7.97,4.95,-3.24
7,PHI,2002,CHI,2002-11-03 13:05:00,Sun,9,1.0,0,6-2,AWAY,19.0,13.0,23.0,309.0,192.0,117.0,1.0,18.0,260.0,186.0,74.0,1.0,-1.96,8.98,-0.7
8,PHI,2002,IND,2002-11-10 13:03:00,Sun,10,0.0,0,6-3,HOME,13.0,35.0,21.0,374.0,269.0,105.0,2.0,18.0,446.0,319.0,127.0,1.0,-8.27,-17.54,9.13
9,PHI,2002,ARI,2002-11-17 13:03:00,Sun,11,1.0,0,7-3,HOME,38.0,14.0,26.0,462.0,250.0,212.0,2.0,15.0,248.0,124.0,124.0,1.0,18.05,3.63,-1.28
10,PHI,2002,SFO,2002-11-25 21:00:00,Mon,12,1.0,0,8-3,AWAY,38.0,17.0,19.0,343.0,236.0,107.0,0.0,24.0,409.0,305.0,104.0,0.0,11.15,1.34,6.22
11,PHI,2002,LAR,2002-12-01 16:15:00,Sun,13,1.0,0,9-3,HOME,10.0,3.0,12.0,265.0,157.0,108.0,4.0,13.0,250.0,174.0,76.0,5.0,-24.88,33.67,0.34
12,PHI,2002,SEA,2002-12-08 16:05:00,Sun,14,1.0,0,10-3,AWAY,27.0,20.0,20.0,316.0,190.0,126.0,1.0,24.0,367.0,195.0,172.0,3.0,1.77,7.45,-0.52
