,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,PIT,2002,NWE,2002-09-09 21:12:00,Mon,0,0,0-1,AWAY,14.0,30.0,20.0,283.0,209.0,74.0,5.0,20.0,343.0,280.0,63.0,1.0,-12.91,-2.42,-0.77
1,PIT,2002,LVR,2002-09-15 20:35:00,Sun,0,0,0-2,HOME,17.0,30.0,14.0,273.0,201.0,72.0,5.0,27.0,464.0,369.0,95.0,2.0,-17.3,1.56,2.74
2,PIT,2002,CLE,2002-09-29 13:01:00,Sun,1,1,1-2,HOME,16.0,13.0,21.0,358.0,265.0,93.0,2.0,13.0,245.0,122.0,123.0,2.0,0.09,10.46,-7.55
3,PIT,2002,NOR,2002-10-06 13:02:00,Sun,0,0,1-3,AWAY,29.0,32.0,23.0,364.0,244.0,120.0,2.0,17.0,315.0,194.0,121.0,0.0,9.84,-7.37,-9.78
4,PIT,2002,CIN,2002-10-13 13:02:00,Sun,1,0,2-3,AWAY,34.0,7.0,21.0,408.0,197.0,211.0,2.0,18.0,268.0,190.0,78.0,4.0,9.4,14.38,0.9
5,PIT,2002,IND,2002-10-21 21:08:00,Mon,1,0,3-3,HOME,28.0,10.0,22.0,364.0,182.0,182.0,1.0,23.0,367.0,295.0,72.0,3.0,11.23,3.8,1.37
6,PIT,2002,BAL,2002-10-27 13:02:00,Sun,1,0,4-3,AWAY,31.0,18.0,16.0,283.0,179.0,104.0,1.0,26.0,360.0,293.0,67.0,5.0,2.2,3.51,10.09
7,PIT,2002,CLE,2002-11-03 13:03:00,Sun,1,0,5-3,AWAY,23.0,20.0,25.0,391.0,255.0,136.0,1.0,9.0,193.0,157.0,36.0,3.0,0.4,12.53,-7.43
8,PIT,2002,ATL,2002-11-10 13:01:00,Sun,2,1,5-3-1,HOME,34.0,34.0,30.0,645.0,463.0,182.0,3.0,21.0,447.0,279.0,168.0,2.0,10.54,1.43,-12.16
9,PIT,2002,TEN,2002-11-17 13:03:00,Sun,0,0,5-4-1,AWAY,23.0,31.0,20.0,357.0,312.0,45.0,3.0,22.0,378.0,257.0,121.0,1.0,2.13,-4.17,-8.61
10,PIT,2002,CIN,2002-11-24 13:01:00,Sun,1,0,6-4-1,HOME,29.0,21.0,21.0,391.0,235.0,156.0,0.0,17.0,352.0,298.0,54.0,1.0,13.92,-3.96,-2.01
11,PIT,2002,JAX,2002-12-01 13:05:00,Sun,1,0,7-4-1,AWAY,25.0,23.0,23.0,403.0,184.0,219.0,1.0,13.0,226.0,124.0,102.0,0.0,2.44,-1.98,2.14
12,PIT,2002,HOU,2002-12-08 13:01:00,Sun,0,0,7-5-1,HOME,6.0,24.0,24.0,422.0,294.0,128.0,5.0,3.0,47.0,10.0,37.0,1.0,-32.93,21.71,-3.4
13,PIT,2002,CAR,2002-12-15 13:01:00,Sun,1,0,8-5-1,HOME,30.0,14.0,19.0,332.0,203.0,129.0,2.0,11.0,131.0,81.0,50.0,4.0,-1.22,21.13,-5.74
14,PIT,2002,TAM,2002-12-23 21:05:00,Mon,1,0,9-5-1,AWAY,17.0,7.0,19.0,327.0,233.0,94.0,1.0,18.0,277.0,203.0,74.0,3.0,-1.03,15.94,-3.19
15,PIT,2002,BAL,2002-12-29 13:02:00,Sun,1,0,10-5-1,HOME,34.0,31.0,25.0,351.0,176.0,175.0,2.0,21.0,422.0,308.0,114.0,4.0,7.19,-11.82,5.17
16,PIT,2002,CLE,2003-01-05 13:01:00,Sun,1,0,11-5-1,HOME,36.0,33.0,30.0,432.0,343.0,89.0,3.0,21.0,447.0,409.0,38.0,1.0,9.83,-6.17,-2.91
17,PIT,2002,TEN,2003-01-11 16:36:00,Sat,0,1,11-6-1,AWAY,31.0,34.0,21.0,324.0,257.0,67.0,1.0,29.0,430.0,331.0,99.0,4.0,2.88,-8.8,1.92
18,PIT,2003,BAL,2003-09-07 13:04:00,Sun,1,0,1-0,HOME,34.0,15.0,21.0,339.0,251.0,88.0,1.0,17.0,231.0,143.0,88.0,2.0,6.28,13.75,-2.58
19,PIT,2003,KAN,2003-09-14 13:00:00,Sun,0,0,1-1,AWAY,20.0,41.0,16.0,380.0,320.0,60.0,4.0,19.0,282.0,123.0,159.0,2.0,-18.24,-0.99,-2.99
20,PIT,2003,CIN,2003-09-21 13:02:00,Sun,1,0,2-1,AWAY,17.0,10.0,22.0,376.0,238.0,138.0,1.0,11.0,182.0,125.0,57.0,1.0,10.64,6.33,-4.89
21,PIT,2003,TEN,2003-09-28 13:01:00,Sun,0,0,2-2,HOME,13.0,30.0,25.0,376.0,307.0,69.0,2.0,9.0,198.0,158.0,40.0,0.0,-12.57,1.5,-4.96
22,PIT,2003,CLE,2003-10-05 20:35:00,Sun,0,0,2-3,HOME,13.0,33.0,11.0,209.0,149.0,60.0,3.0,22.0,324.0,200.0,124.0,2.0,-23.56,-5.82,9.62
23,PIT,2003,DEN,2003-10-12 16:15:00,Sun,0,0,2-4,AWAY,14.0,17.0,17.0,215.0,130.0,85.0,1.0,15.0,242.0,165.0,77.0,3.0,-11.34,7.37,-0.79
24,PIT,2003,LAR,2003-10-26 13:02:00,Sun,0,0,2-5,HOME,21.0,33.0,11.0,245.0,151.0,94.0,4.0,26.0,448.0,359.0,89.0,0.0,-16.63,-8.47,12.32
25,PIT,2003,SEA,2003-11-02 16:06:00,Sun,0,0,2-6,AWAY,16.0,23.0,19.0,320.0,215.0,105.0,0.0,19.0,289.0,191.0,98.0,0.0,-5.35,-4.26,-1.0
26,PIT,2003,ARI,2003-11-09 13:02:00,Sun,1,0,3-6,HOME,28.0,15.0,11.0,246.0,159.0,87.0,1.0,19.0,379.0,283.0,96.0,1.0,-3.87,8.91,13.24
27,PIT,2003,SFO,2003-11-17 21:09:00,Mon,0,0,3-7,AWAY,14.0,30.0,21.0,349.0,305.0,44.0,2.0,17.0,423.0,254.0,169.0,0.0,-2.3,-9.93,-2.95
28,PIT,2003,CLE,2003-11-23 13:02:00,Sun,1,0,4-7,AWAY,13.0,6.0,11.0,168.0,59.0,109.0,0.0,19.0,303.0,213.0,90.0,5.0,-15.85,24.23,1.07
29,PIT,2003,CIN,2003-11-30 13:01:00,Sun,0,0,4-8,HOME,20.0,24.0,23.0,384.0,299.0,85.0,2.0,18.0,379.0,266.0,113.0,0.0,6.82,-11.06,2.03
30,PIT,2003,LVR,2003-12-07 13:01:00,Sun,1,0,5-8,HOME,27.0,7.0,21.0,399.0,266.0,133.0,2.0,9.0,161.0,39.0,122.0,3.0,3.2,23.4,-0.71
31,PIT,2003,NYJ,2003-12-14 13:03:00,Sun,0,0,5-9,AWAY,0.0,6.0,16.0,231.0,137.0,94.0,0.0,15.0,319.0,144.0,175.0,1.0,-8.4,4.67,-2.99
32,PIT,2003,LAC,2003-12-21 16:05:00,Sun,1,0,6-9,HOME,40.0,24.0,21.0,341.0,160.0,181.0,0.0,21.0,344.0,228.0,116.0,3.0,14.22,3.12,0.85
33,PIT,2003,BAL,2003-12-28 20:36:00,Sun,0,1,6-10,AWAY,10.0,13.0,9.0,214.0,158.0,56.0,5.0,14.0,279.0,151.0,128.0,2.0,-24.82,16.59,6.88
34,PIT,2004,LVR,2004-09-12 13:04:00,Sun,1,0,1-0,HOME,24.0,21.0,17.0,237.0,130.0,107.0,1.0,18.0,358.0,297.0,61.0,4.0,-0.07,2.87,1.83
35,PIT,2004,BAL,2004-09-19 13:02:00,Sun,0,0,1-1,AWAY,13.0,30.0,16.0,310.0,217.0,93.0,3.0,15.0,259.0,87.0,172.0,0.0,-17.17,7.6,-3.95
36,PIT,2004,MIA,2004-09-26 20:36:00,Sun,1,0,2-1,AWAY,13.0,3.0,15.0,314.0,161.0,153.0,1.0,13.0,169.0,117.0,52.0,4.0,-8.3,23.95,-5.68
37,PIT,2004,CIN,2004-10-03 13:01:00,Sun,1,0,3-1,HOME,28.0,17.0,23.0,333.0,168.0,165.0,2.0,22.0,293.0,156.0,137.0,3.0,4.36,7.57,2.17
38,PIT,2004,CLE,2004-10-10 13:02:00,Sun,1,0,4-1,HOME,34.0,23.0,21.0,401.0,231.0,170.0,1.0,17.0,305.0,207.0,98.0,1.0,6.23,5.65,0.0
39,PIT,2004,DAL,2004-10-17 16:15:00,Sun,1,0,5-1,AWAY,24.0,20.0,21.0,297.0,172.0,125.0,0.0,20.0,348.0,248.0,100.0,1.0,8.82,-5.51,-2.68
40,PIT,2004,NWE,2004-10-31 16:15:00,Sun,1,0,6-1,HOME,34.0,20.0,25.0,417.0,196.0,221.0,0.0,19.0,248.0,243.0,5.0,4.0,15.53,10.27,-7.14
41,PIT,2004,PHI,2004-11-07 13:02:00,Sun,1,0,7-1,HOME,27.0,3.0,25.0,420.0,168.0,252.0,2.0,7.0,113.0,90.0,23.0,1.0,13.23,20.13,-9.78
42,PIT,2004,CLE,2004-11-14 13:03:00,Sun,1,0,8-1,AWAY,24.0,10.0,18.0,300.0,120.0,180.0,1.0,12.0,228.0,160.0,68.0,4.0,1.59,17.96,-5.82
43,PIT,2004,CIN,2004-11-21 13:03:00,Sun,1,0,9-1,AWAY,19.0,14.0,21.0,235.0,84.0,151.0,1.0,10.0,209.0,147.0,62.0,1.0,-9.18,10.01,5.09
44,PIT,2004,WAS,2004-11-28 13:02:00,Sun,1,0,10-1,HOME,16.0,7.0,15.0,207.0,100.0,107.0,0.0,10.0,156.0,105.0,51.0,1.0,-4.68,16.94,-0.09
45,PIT,2004,JAX,2004-12-05 20:35:00,Sun,1,0,11-1,AWAY,17.0,16.0,15.0,316.0,196.0,120.0,0.0,20.0,359.0,259.0,100.0,0.0,9.62,-11.28,-0.48
46,PIT,2004,NYJ,2004-12-12 16:05:00,Sun,1,0,12-1,HOME,17.0,6.0,15.0,262.0,142.0,120.0,2.0,15.0,296.0,189.0,107.0,3.0,-2.0,15.46,-0.15
47,PIT,2004,NYG,2004-12-18 13:37:00,Sat,1,0,13-1,AWAY,33.0,30.0,27.0,469.0,309.0,160.0,2.0,18.0,278.0,182.0,96.0,1.0,19.52,-8.66,-7.92
48,PIT,2004,BAL,2004-12-26 13:01:00,Sun,1,0,14-1,HOME,20.0,7.0,20.0,404.0,221.0,183.0,2.0,16.0,248.0,177.0,71.0,1.0,9.1,0.97,2.07
49,PIT,2004,BUF,2005-01-02 13:02:00,Sun,1,0,15-1,AWAY,29.0,24.0,15.0,262.0,105.0,157.0,3.0,16.0,267.0,171.0,96.0,3.0,-14.83,9.73,11.57
50,PIT,2004,NYJ,2005-01-15 16:36:00,Sat,1,1,16-1,HOME,20.0,17.0,23.0,364.0,171.0,193.0,3.0,17.0,275.0,165.0,110.0,1.0,-8.87,7.11,0.77
51,PIT,2004,NWE,2005-01-23 18:36:00,Sun,0,0,16-2,HOME,27.0,41.0,19.0,388.0,225.0,163.0,4.0,18.0,322.0,196.0,126.0,0.0,-3.47,-13.28,1.05
52,PIT,2005,TEN,2005-09-11 13:05:00,Sun,1,0,1-0,HOME,34.0,7.0,18.0,424.0,218.0,206.0,0.0,16.0,303.0,206.0,97.0,4.0,21.98,7.92,-0.51
53,PIT,2005,HOU,2005-09-18 13:02:00,Sun,1,0,2-0,AWAY,27.0,7.0,18.0,388.0,253.0,135.0,0.0,16.0,221.0,108.0,113.0,1.0,12.69,6.64,3.24
54,PIT,2005,NWE,2005-09-25 16:15:00,Sun,0,0,2-1,HOME,20.0,23.0,14.0,269.0,190.0,79.0,1.0,24.0,426.0,346.0,80.0,3.0,-1.79,1.71,-2.83
55,PIT,2005,LAC,2005-10-10 21:00:00,Mon,1,0,3-1,AWAY,24.0,22.0,25.0,311.0,207.0,104.0,1.0,20.0,279.0,213.0,66.0,2.0,8.67,-0.25,-3.62
56,PIT,2005,JAX,2005-10-16 13:02:00,Sun,0,1,3-2,HOME,17.0,23.0,16.0,218.0,145.0,73.0,4.0,17.0,246.0,153.0,93.0,1.0,-17.8,11.28,0.52
57,PIT,2005,CIN,2005-10-23 13:02:00,Sun,1,0,4-2,AWAY,27.0,13.0,20.0,304.0,83.0,221.0,2.0,20.0,302.0,211.0,91.0,2.0,3.85,4.16,6.31
58,PIT,2005,BAL,2005-10-31 21:07:00,Mon,1,0,5-2,HOME,20.0,19.0,19.0,261.0,160.0,101.0,2.0,20.0,318.0,246.0,72.0,3.0,-1.38,3.93,0.29
59,PIT,2005,GNB,2005-11-06 16:15:00,Sun,1,0,6-2,AWAY,20.0,10.0,13.0,213.0,59.0,154.0,1.0,16.0,268.0,203.0,65.0,3.0,-7.04,20.35,-4.11
60,PIT,2005,CLE,2005-11-13 20:36:00,Sun,1,0,7-2,HOME,34.0,21.0,25.0,382.0,223.0,159.0,0.0,16.0,303.0,242.0,61.0,2.0,17.05,1.4,-4.25
61,PIT,2005,BAL,2005-11-20 13:02:00,Sun,0,1,7-3,AWAY,13.0,16.0,17.0,282.0,212.0,70.0,2.0,18.0,241.0,137.0,104.0,2.0,-16.86,20.87,-7.02
62,PIT,2005,IND,2005-11-28 21:08:00,Mon,0,0,7-4,AWAY,7.0,26.0,10.0,197.0,111.0,86.0,2.0,17.0,366.0,239.0,127.0,1.0,-17.17,-0.95,-1.05
63,PIT,2005,CIN,2005-12-04 13:02:00,Sun,0,0,7-5,HOME,31.0,38.0,28.0,474.0,379.0,95.0,4.0,21.0,324.0,222.0,102.0,0.0,5.48,-8.16,-6.31
64,PIT,2005,CHI,2005-12-11 13:02:00,Sun,1,0,8-5,HOME,21.0,9.0,20.0,363.0,173.0,190.0,0.0,15.0,268.0,185.0,83.0,0.0,7.48,2.76,0.63
65,PIT,2005,MIN,2005-12-18 13:05:00,Sun,1,0,9-5,AWAY,18.0,3.0,14.0,275.0,133.0,142.0,1.0,11.0,185.0,131.0,54.0,3.0,-2.86,16.8,3.5
66,PIT,2005,CLE,2005-12-24 13:03:00,Sat,1,0,10-5,AWAY,41.0,0.0,20.0,457.0,248.0,209.0,1.0,12.0,186.0,123.0,63.0,1.0,24.87,22.39,-9.62
67,PIT,2005,DET,2006-01-01 13:02:00,Sun,1,0,11-5,HOME,35.0,21.0,20.0,331.0,132.0,199.0,2.0,16.0,308.0,203.0,105.0,2.0,14.69,-6.0,9.83
68,PIT,2005,CIN,2006-01-08 16:36:00,Sun,1,0,12-5,AWAY,31.0,17.0,19.0,346.0,202.0,144.0,0.0,19.0,327.0,243.0,84.0,2.0,18.23,-0.37,-2.3
69,PIT,2005,IND,2006-01-15 13:04:00,Sun,1,0,13-5,AWAY,21.0,18.0,21.0,295.0,183.0,112.0,2.0,15.0,305.0,247.0,58.0,0.0,-2.34,-0.14,5.19
70,PIT,2005,DEN,2006-01-22 15:08:00,Sun,1,0,14-5,AWAY,34.0,17.0,20.0,358.0,268.0,90.0,0.0,16.0,308.0,211.0,97.0,4.0,13.83,-0.54,-2.21
71,PIT,2005,SEA,2006-02-05 18:27:00,Sun,1,0,15-5,NEUTRAL,21.0,10.0,14.0,339.0,158.0,181.0,2.0,20.0,396.0,259.0,137.0,1.0,-1.12,5.54,7.56
72,PIT,2006,MIA,2006-09-07 20:37:00,Thu,1,0,1-0,HOME,28.0,17.0,20.0,342.0,196.0,146.0,1.0,15.0,278.0,240.0,38.0,2.0,7.8,12.24,-7.57
73,PIT,2006,JAX,2006-09-18 20:40:00,Mon,0,0,1-1,AWAY,0.0,9.0,9.0,153.0,127.0,26.0,2.0,17.0,362.0,252.0,110.0,1.0,-23.61,5.03,4.64
74,PIT,2006,CIN,2006-09-24 13:02:00,Sun,0,0,1-2,HOME,20.0,28.0,27.0,365.0,195.0,170.0,5.0,15.0,246.0,159.0,87.0,3.0,-1.57,5.09,-11.25
75,PIT,2006,LAC,2006-10-08 20:15:00,Sun,0,0,1-3,AWAY,13.0,23.0,16.0,265.0,197.0,68.0,2.0,22.0,341.0,222.0,119.0,1.0,-5.43,-6.53,-2.93
76,PIT,2006,KAN,2006-10-15 16:15:00,Sun,1,0,2-3,HOME,45.0,7.0,23.0,457.0,238.0,219.0,1.0,14.0,213.0,175.0,38.0,3.0,22.63,25.58,-10.7
77,PIT,2006,ATL,2006-10-22 13:05:00,Sun,0,1,2-4,AWAY,38.0,41.0,27.0,473.0,418.0,55.0,3.0,24.0,399.0,226.0,173.0,2.0,16.27,-8.67,-11.62
78,PIT,2006,LVR,2006-10-29 16:15:00,Sun,0,0,2-5,AWAY,13.0,20.0,15.0,360.0,271.0,89.0,4.0,9.0,98.0,17.0,81.0,1.0,-18.23,20.56,-2.11
79,PIT,2006,DEN,2006-11-05 16:15:00,Sun,0,0,2-6,HOME,20.0,31.0,27.0,499.0,403.0,96.0,6.0,13.0,336.0,221.0,115.0,0.0,7.48,-7.56,-10.07
80,PIT,2006,NOR,2006-11-12 16:15:00,Sun,1,0,3-6,HOME,38.0,31.0,19.0,467.0,250.0,217.0,0.0,29.0,513.0,393.0,120.0,3.0,25.58,-17.74,1.13
81,PIT,2006,CLE,2006-11-19 13:03:00,Sun,1,0,4-6,AWAY,24.0,20.0,23.0,338.0,261.0,77.0,3.0,15.0,302.0,203.0,99.0,2.0,-3.09,6.91,-4.17
82,PIT,2006,BAL,2006-11-26 13:02:00,Sun,0,0,4-7,AWAY,0.0,27.0,17.0,172.0,151.0,21.0,3.0,19.0,275.0,161.0,114.0,0.0,-25.17,-0.81,0.91
83,PIT,2006,TAM,2006-12-03 16:15:00,Sun,1,0,5-7,HOME,20.0,3.0,13.0,267.0,191.0,76.0,1.0,16.0,254.0,144.0,110.0,4.0,-5.78,23.9,-2.37
84,PIT,2006,CLE,2006-12-07 20:04:00,Thu,1,0,6-7,HOME,27.0,7.0,26.0,528.0,225.0,303.0,1.0,11.0,294.0,276.0,18.0,2.0,20.64,6.5,-4.6
85,PIT,2006,CAR,2006-12-17 13:02:00,Sun,1,0,7-7,AWAY,37.0,3.0,20.0,306.0,147.0,159.0,0.0,12.0,240.0,197.0,43.0,2.0,10.38,13.77,8.25
86,PIT,2006,BAL,2006-12-24 13:02:00,Sun,0,0,7-8,HOME,7.0,31.0,16.0,251.0,188.0,63.0,3.0,23.0,359.0,256.0,103.0,3.0,-20.87,-4.38,3.79
87,PIT,2006,CIN,2006-12-31 13:03:00,Sun,1,1,8-8,AWAY,23.0,17.0,29.0,482.0,275.0,207.0,2.0,15.0,295.0,251.0,44.0,0.0,12.82,-6.43,0.55
88,PIT,2007,CLE,2007-09-09 13:03:00,Sun,1,0,1-0,AWAY,34.0,7.0,17.0,365.0,159.0,206.0,1.0,13.0,221.0,175.0,46.0,5.0,5.79,25.76,-1.64
89,PIT,2007,BUF,2007-09-16 13:02:00,Sun,1,0,2-0,HOME,26.0,3.0,24.0,420.0,236.0,184.0,1.0,10.0,223.0,121.0,102.0,0.0,16.36,12.49,-5.31
