,team,season,opp,datetime,day_week,week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
0,WAS,2002,ARI,2002-09-08 13:05:00,Sun,1,1,0.0,1-0,HOME,31.0,23.0,21.0,442.0,320.0,122.0,1.0,14.0,257.0,187.0,70.0,1.0,7.61,4.97,-2.59
1,WAS,2002,PHI,2002-09-16 21:05:00,Mon,2,0,0.0,1-1,HOME,7.0,37.0,11.0,179.0,90.0,89.0,3.0,22.0,451.0,283.0,168.0,0.0,-18.03,-11.3,0.76
2,WAS,2002,SFO,2002-09-22 16:15:00,Sun,3,0,0.0,1-2,AWAY,10.0,20.0,12.0,217.0,160.0,57.0,3.0,22.0,366.0,114.0,252.0,1.0,-10.3,-1.01,-1.54
3,WAS,2002,TEN,2002-10-06 13:03:00,Sun,5,1,0.0,2-2,AWAY,31.0,14.0,25.0,442.0,286.0,156.0,0.0,17.0,289.0,230.0,59.0,4.0,19.74,5.84,-5.61
4,WAS,2002,NOR,2002-10-13 13:01:00,Sun,6,0,0.0,2-3,HOME,27.0,43.0,20.0,318.0,264.0,54.0,5.0,16.0,311.0,192.0,119.0,1.0,-13.31,10.02,-12.3
5,WAS,2002,GNB,2002-10-20 16:15:00,Sun,7,0,0.0,2-4,AWAY,9.0,30.0,19.0,238.0,92.0,146.0,4.0,19.0,243.0,155.0,88.0,1.0,-18.11,-2.22,-1.31
6,WAS,2002,IND,2002-10-27 20:35:00,Sun,8,1,0.0,3-4,HOME,26.0,21.0,23.0,370.0,205.0,165.0,1.0,18.0,258.0,195.0,63.0,3.0,0.12,7.8,0.86
7,WAS,2002,SEA,2002-11-03 16:15:00,Sun,9,1,0.0,4-4,AWAY,14.0,3.0,16.0,259.0,113.0,146.0,1.0,21.0,324.0,240.0,84.0,2.0,-2.32,7.47,0.52
8,WAS,2002,JAX,2002-11-10 16:05:00,Sun,10,0,0.0,4-5,AWAY,7.0,26.0,23.0,307.0,239.0,68.0,3.0,18.0,309.0,167.0,142.0,0.0,-10.72,2.67,-3.68
9,WAS,2002,NYG,2002-11-17 13:04:00,Sun,11,0,0.0,4-6,AWAY,17.0,19.0,12.0,166.0,106.0,60.0,2.0,21.0,299.0,211.0,88.0,3.0,-13.41,16.51,-7.34
10,WAS,2002,LAR,2002-11-24 13:01:00,Sun,12,1,0.0,5-6,HOME,20.0,17.0,21.0,362.0,235.0,127.0,0.0,25.0,364.0,280.0,84.0,2.0,15.91,-7.89,-4.17
11,WAS,2002,DAL,2002-11-28 16:17:00,Thu,13,0,0.0,5-7,AWAY,20.0,27.0,16.0,315.0,232.0,83.0,4.0,19.0,328.0,117.0,211.0,0.0,-8.04,0.09,1.05
12,WAS,2002,NYG,2002-12-08 13:02:00,Sun,14,0,0.0,5-8,HOME,21.0,27.0,23.0,447.0,315.0,132.0,5.0,16.0,316.0,205.0,111.0,0.0,-4.37,-1.72,-1.23
13,WAS,2002,PHI,2002-12-15 13:02:00,Sun,15,0,0.0,5-9,AWAY,21.0,34.0,16.0,292.0,206.0,86.0,3.0,15.0,320.0,210.0,110.0,1.0,-14.05,1.94,-5.18
14,WAS,2002,HOU,2002-12-22 13:02:00,Sun,16,1,0.0,6-9,HOME,26.0,10.0,27.0,437.0,190.0,247.0,0.0,10.0,166.0,99.0,67.0,3.0,8.88,20.41,-16.81
15,WAS,2002,DAL,2002-12-29 13:02:00,Sun,17,1,0.0,7-9,HOME,20.0,14.0,18.0,352.0,201.0,151.0,5.0,8.0,186.0,148.0,38.0,4.0,-19.28,26.49,-2.18
16,WAS,2003,NYJ,2003-09-04 21:09:00,Thu,1,1,0,1-0,HOME,16.0,13.0,17.0,327.0,167.0,160.0,2.0,11.0,158.0,101.0,57.0,0.0,1.07,4.71,-2.98
17,WAS,2003,ATL,2003-09-14 13:03:00,Sun,2,1,0,2-0,AWAY,33.0,31.0,23.0,435.0,310.0,125.0,2.0,17.0,283.0,184.0,99.0,2.0,-2.96,6.65,-2.34
18,WAS,2003,NYG,2003-09-21 16:05:00,Sun,3,0,1,2-1,HOME,21.0,24.0,25.0,456.0,332.0,124.0,1.0,25.0,399.0,270.0,129.0,0.0,8.78,-12.54,-0.38
19,WAS,2003,NWE,2003-09-28 13:03:00,Sun,4,1,0,3-1,HOME,20.0,17.0,15.0,253.0,134.0,119.0,0.0,23.0,387.0,281.0,106.0,4.0,-0.91,2.48,2.2
20,WAS,2003,PHI,2003-10-05 16:15:00,Sun,5,0,0,3-2,AWAY,25.0,27.0,20.0,307.0,258.0,49.0,2.0,18.0,267.0,140.0,127.0,2.0,-14.58,4.45,4.54
21,WAS,2003,TAM,2003-10-12 13:03:00,Sun,6,0,0,3-3,HOME,13.0,35.0,19.0,275.0,207.0,68.0,3.0,25.0,379.0,268.0,111.0,0.0,-10.08,-21.8,6.35
