Title,Director
Perfect Blue,Sartoshi Kon
Mellennium Actress,Sartoshi Kon
Infernal Affairs,Andrew Lau
Chungking Express,Wong Kar-wai
Fallen Angels,Wong Kar-wai
Baron Munchausen,Terry Gilliam
Paprika,Sartoshi Kon
Throne of Blood,Akira Kurosawa
Harikiri,Akira Kurosawa
Stalker,Andrei Tarkovsky
The Sacrifice,Andrei Tarkovsky
Solaris,Andrei Tarkovsky
Ivan's Childhood,Andrei Tarkovsky
The Mirror,Andrei Tarkovsky
Annihilation ,Alex Garland
Ran,Akira Kurosawa
Barry Lyndon,Stanley Kubrick
Persepolis,Marjane Satrapi
Near Dark ,Kathryn Bigelow
Boys Don't Cry,Kimberly Pierce
Orlando,Sally Potter
Portrait of Jason,Shirley Clarke
You Were Never Really Here,Lynne Ramsey
Paris is Burning,Jennie Livingston
Monster,Patty Jenkins
Sugar Cane Alley,Euzhan Palcy
News From Home,Chantal Akerman
Le Bonheur,Agnes Varda
Lost in Translation,Sofia Coppola
Winter's Bone,Debra Granik
Daisies,Vera Chytilova
Beau Travail,Claire Denis
La Strada,Federico Fellini
La Dolce Vida,Federico Fellini
8½,Federico Fellini
Breathless,Jean-Luc Godard
Hiroshima mon amour,Alain Resnais
L'Année dernière à Marienbad,Marguerite Duras
Lola,Jacques Demy
A Girl Walks Home Alone at Night,Ana Lily Amirpour
Stray Dog,Akira Kurosawa
Branded to Kill,Seijun Suzuki
Our Man in Havana,Carol Reed
The Spy Who Came in from the Cold,Martin Ritt
Wake in Fright,Ted Kotcheff
The Last Wave,Peter Weir
Stand by Me,Rob Reiner
"THE ADVENTURES OF PRISCILLA, QUEEN OF THE DESERT",Stephan Elliott
"AGUIRRE, THE WRATH OF GOD",Warner Herzog
Badlands,Terrence Malick
Do the Right Thing,Spike Lee
The French Connection,William Friedkin
Frida,Julie Taymor
Ikiru,Akira Kurosawa
The Night of the Hunter,Charles Laughton
The Seventh Seal,Ingmar Bergman
Thelma & Louise,Ridley Scott
Zero Dark Thirty,Kathryn Bigelow
Hard Boiled,John Woo
A Better Tomorrow,John Woo
The 8 Diagram Pole Fighter,Lau Kar-leung
Night Moves,Kelly Reichardt
The Battle of Algiers,Gillo Pontecorvo
